Time (s),Tilt up/down (deg),Tilt left/right (deg)
733.0,162.24952615,-121.30737934999999
734.0,162.1524487,-121.2810043
735.0,162.41597905,-121.36167855
736.0,161.65981955,-121.22144800000001
737.0,161.63781295,-121.25171305
738.0,161.690114,-121.29562585
739.0,161.6056212,-121.25146215
740.0,162.64485255,-121.335449
741.0,162.2456526,-121.25101605
742.0,161.76513204999998,-121.2017092
743.0,162.23633025,-121.29860805
744.0,161.3443614,-121.05958294999999
745.0,161.13952325,-121.0526493
746.0,161.66297505,-121.17535025000001
747.0,162.10886010000002,-121.22664365
748.0,161.2724909,-121.0947925
749.0,162.03701905,-121.24919915000001
750.0,162.03434190000002,-121.21830525
751.0,161.8607876,-121.1786927
752.0,162.07294194999997,-121.2502243
753.0,161.9025724,-121.177588
754.0,161.0578825,-121.17357135
755.0,161.37665005,-121.19284189999999
756.0,161.79198795000002,-121.17889305
757.0,162.01177869999998,-121.1773153
758.0,161.52283525,-121.18106015
759.0,161.5623512,-121.1289117
760.0,161.8035797,-121.17419054999999
761.0,162.121543,-121.1333987
762.0,162.00614205,-120.98673360000001
763.0,162.1195457,-121.227457
764.0,162.17703315,-121.21299985
765.0,161.96919985,-121.20294655000001
766.0,162.11098049999998,-121.1971742
767.0,162.1831081,-121.1707174
768.0,162.13885245,-121.10490429999999
769.0,162.16412835,-121.16276475
770.0,162.1022341,-121.12656375
771.0,162.0127913,-121.10350255
772.0,162.20086255,-121.16132544999999
773.0,162.02248214999997,-121.11282745
774.0,162.00683505,-121.13281760000001
775.0,162.14196435000002,-121.16711475
776.0,162.01439015,-121.12597235
