Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
138,270.375,263.625,345.0,250.875,2,3,3,0
139,244.0,297.0,315.0,279.0,0,0,1,0
140,,,,,0,0,0,0
141,,,,,0,0,0,0
142,,,,,0,0,0,0
143,,,,,0,0,0,0
144,,,,,0,0,0,0
145,,,,,0,0,0,0
146,,,,,0,0,0,0
147,,,,,0,0,0,0
148,,,,,0,0,0,0
149,,,,,0,0,0,0
150,220.66666666666666,296.6666666666667,295.0,279.0,1,2,0,0
151,280.0,242.0,355.0,259.0,0,0,1,0
152,296.5,240.0,386.0,245.0,2,0,0,0
153,312.4166666666667,244.91666666666666,396.25,244.75,12,0,0,0
154,307.8333333333333,251.33333333333334,396.5,252.16666666666666,5,1,0,0
155,315.0,252.25,405.25,254.25,3,1,0,0
156,319.5,256.5,413.3333333333333,257.0,1,1,4,0
157,317.1666666666667,252.58333333333334,406.8333333333333,255.33333333333334,2,10,0,0
158,324.4,253.4,408.93333333333334,254.6,2,4,9,0
159,335.93333333333334,252.86666666666667,416.46666666666664,256.4,13,0,2,0
160,340.3333333333333,256.5833333333333,420.6666666666667,259.25,11,0,1,0
161,325.5,249.21428571428572,415.92857142857144,259.5,0,4,10,0
162,320.0,255.64285714285714,408.57142857142856,256.2142857142857,0,6,8,0
163,340.0,263.06666666666666,426.46666666666664,264.3333333333333,10,2,3,0
164,314.75,249.0625,396.25,244.6875,14,2,0,0
165,316.125,240.125,398.25,240.9375,16,0,0,0
166,306.25,248.6875,388.5,246.8125,16,0,0,0
167,305.6,260.26666666666665,392.53333333333336,257.26666666666665,15,0,0,0
168,304.73333333333335,257.93333333333334,396.8666666666667,256.06666666666666,8,7,0,0
169,308.6,254.26666666666668,401.8,252.46666666666667,14,0,1,0
170,305.6666666666667,253.8,399.8666666666667,251.2,14,1,0,0
171,308.6666666666667,255.33333333333334,398.73333333333335,251.33333333333334,15,0,0,0
172,306.25,257.875,398.3125,254.3125,15,0,1,0
173,301.73333333333335,261.8,395.93333333333334,257.2,12,1,2,0
174,300.53333333333336,262.0,395.0,257.6,5,9,1,0
175,300.6,261.93333333333334,394.0,258.0,14,1,0,0
176,302.4,263.06666666666666,394.3333333333333,258.26666666666665,11,1,3,0
177,299.46666666666664,263.1333333333333,392.2,257.8666666666667,12,1,2,0
178,300.6,264.3333333333333,392.26666666666665,258.46666666666664,9,1,5,0
179,301.26666666666665,265.06666666666666,392.6,259.53333333333336,14,0,1,0
180,298.6666666666667,265.26666666666665,390.6666666666667,259.8666666666667,15,0,0,0
181,298.8666666666667,266.93333333333334,392.8666666666667,261.6,13,2,0,0
182,296.0,267.6666666666667,390.73333333333335,262.46666666666664,13,1,1,0
183,298.6666666666667,266.53333333333336,391.6,260.8,6,4,5,0
184,298.46666666666664,267.6,391.93333333333334,261.8666666666667,6,5,4,0
185,300.46666666666664,267.93333333333334,392.6,262.53333333333336,6,1,8,0
186,300.8666666666667,269.0,392.93333333333334,263.6,7,0,8,0
187,298.73333333333335,270.2,391.8666666666667,265.6666666666667,14,0,1,0
188,301.53333333333336,271.8666666666667,392.6,267.1333333333333,15,0,0,0
189,302.3333333333333,271.8666666666667,394.26666666666665,267.46666666666664,15,0,0,0
190,301.3125,270.5,393.375,266.25,15,0,1,0
191,302.53333333333336,272.0,394.6666666666667,267.4,13,0,2,0
192,301.93333333333334,271.73333333333335,394.0,268.0,15,0,0,0
193,302.73333333333335,272.1333333333333,394.8666666666667,268.4,14,0,1,0
194,299.0,274.1333333333333,395.26666666666665,270.0,15,0,0,0
195,299.53333333333336,276.3333333333333,395.2,271.1333333333333,15,0,0,0
196,301.4,276.6,395.2,271.93333333333334,15,0,0,0
197,302.6,277.06666666666666,395.53333333333336,272.8,15,0,0,0
198,303.2142857142857,276.92857142857144,395.2857142857143,272.92857142857144,14,0,0,0
199,302.6,276.26666666666665,395.93333333333334,272.3333333333333,15,0,0,0
200,299.26666666666665,275.6,394.26666666666665,271.8,15,0,0,0
201,302.46666666666664,276.0,396.6,272.1333333333333,15,0,0,0
202,302.1333333333333,277.1333333333333,396.1333333333333,273.26666666666665,15,0,0,0
203,300.26666666666665,278.2,394.93333333333334,274.1333333333333,15,0,0,0
204,299.46666666666664,278.2,394.3333333333333,274.4,15,0,0,0
205,301.2,278.46666666666664,396.2,274.4,15,0,0,0
206,300.8666666666667,278.6666666666667,396.8,274.6,15,0,0,0
207,299.8666666666667,277.53333333333336,396.3333333333333,273.6666666666667,10,4,1,0
208,295.6666666666667,274.3333333333333,393.8666666666667,270.6666666666667,4,11,0,0
209,299.46666666666664,277.26666666666665,396.46666666666664,273.53333333333336,14,1,0,0
210,299.26666666666665,276.26666666666665,396.6,272.93333333333334,4,11,0,0
211,299.53333333333336,276.6666666666667,396.2,273.53333333333336,9,5,1,0
212,298.26666666666665,277.06666666666666,396.0,273.8666666666667,10,5,0,0
213,300.0,277.1764705882353,396.70588235294116,274.1764705882353,13,4,0,0
214,300.1333333333333,277.73333333333335,397.6,274.73333333333335,7,8,0,0
215,299.6,278.2,396.8,274.93333333333334,10,5,0,0
216,302.42857142857144,280.64285714285717,395.7857142857143,277.2142857142857,13,1,0,0
217,300.6,279.8,395.93333333333334,275.73333333333335,15,0,0,0
218,300.4,278.8,398.46666666666664,275.4,11,3,1,0
219,301.8666666666667,278.0,398.06666666666666,275.06666666666666,11,2,2,0
220,301.93333333333334,279.06666666666666,398.73333333333335,275.8666666666667,12,1,2,0
221,302.93333333333334,280.2,399.1333333333333,277.06666666666666,12,1,2,0
222,297.92857142857144,275.92857142857144,394.64285714285717,272.7142857142857,1,13,0,0
223,305.2,275.46666666666664,402.06666666666666,273.2,9,1,5,0
224,312.2,268.06666666666666,406.6,267.46666666666664,7,2,6,0
225,336.6,249.2,423.6,257.7,5,1,4,0
226,344.26666666666665,246.86666666666667,434.6,255.46666666666667,9,1,5,0
227,340.14285714285717,266.57142857142856,433.7142857142857,275.7142857142857,5,0,2,0
228,334.55555555555554,282.6666666666667,428.22222222222223,278.77777777777777,8,1,0,0
229,336.0,239.625,426.875,260.875,0,1,7,0
230,330.7,238.6,422.5,261.5,0,1,9,0
231,335.2,237.9,424.4,259.0,0,1,9,0
232,333.6666666666667,239.08333333333334,424.8333333333333,261.1666666666667,0,1,11,0
233,333.9,238.8,423.4,261.8,0,0,10,0
234,332.4166666666667,239.83333333333334,422.0833333333333,262.8333333333333,0,0,12,0
235,333.1666666666667,238.41666666666666,423.5,260.8333333333333,0,1,11,0
236,327.8888888888889,230.11111111111111,417.6666666666667,251.11111111111111,0,1,8,0
237,328.5,229.5,430.5,247.5,0,1,1,0
238,,,,,0,0,0,0
239,331.0,279.0,432.0,274.0,1,0,0,0
240,313.0,232.2,412.8,252.0,0,0,5,0
241,305.54545454545456,231.54545454545453,405.27272727272725,249.45454545454547,0,0,11,0
