Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2)
969.0,-0.06793724355,-0.051383788624999996,0.20987415310000002,0.22650514625
970.0,-0.06939513260499999,-0.04975888806,0.2084630459,0.22527678115
971.0,-0.067507489785,-0.046770972305000005,0.20975428725,0.22526235579999998
972.0,-0.06806524657,-0.054768906905,0.2090667263,0.22659265690000002
973.0,-0.068227637855,-0.05335655063,0.20838784545,0.2256765494
974.0,-0.066482423155,-0.058229601945,0.20734578435,0.22540473785
975.0,-0.06719274176000001,-0.052473581425,0.2100001362,0.22666773595
976.0,-0.06792017009000001,-0.048398075945,0.20920153325000002,0.22521828565000002
977.0,-0.067816554555,-0.046588961095000006,0.21119533265,0.22666319265
978.0,-0.067048012265,-0.046841086850000005,0.20917261215,0.22459809555
979.0,-0.066427081355,-0.0514862509,0.20882757125,0.22511133945
980.0,-0.064610903545,-0.0520284677,0.20843837185,0.22434562225
981.0,-0.05916387094,-0.04821645557,0.21120479375,0.2245904939
982.0,-0.06336657577999999,-0.05253981022,0.2101603085,0.2257081333
983.0,-0.06394294898,-0.049757074740000004,0.2106429887,0.2256914593
984.0,-0.067091237065,-0.050159997984999996,0.20746011375,0.2237373324
985.0,-0.068173047575,-0.054270978445,0.20676736365,0.22437859485
986.0,-0.064405355975,-0.05574914475,0.2087676471,0.22549004865
987.0,-0.06748694395999999,-0.05566005118,0.20695612405,0.22468529225
988.0,-0.0635144796,-0.046537514200000005,0.21106707705,0.22529658205
989.0,-0.062109536815000005,-0.044910913605,0.2121371754,0.22556129665000002
990.0,-0.062019970805,-0.046243197205,0.2099293431,0.22373229525
991.0,-0.06281454196,-0.049267826645,0.21141377555000002,0.2259860892
992.0,-0.06608714449,-0.054079978475,0.20845169675,0.22529490340000002
993.0,-0.06742969303,-0.052560597065,0.20657101345,0.2235861206
994.0,-0.065698903705,-0.05299298725,0.20236733605,0.21926680435
995.0,-0.062552771875,-0.04846276745,0.20423591705,0.2192139072
996.0,-0.08006864209,-0.041356985605,0.20025397885000001,0.22120846145
997.0,-0.053550610015,-0.039613971515,0.20798640315,0.219556184
998.0,-0.061663276700000005,-0.029538349745,0.2149465357,0.22608603254999998
999.0,-0.08176099877,-0.024003066713500002,0.20279418855,0.22631627225
1000.0,-0.06076709407,-0.044128205215,0.2004214181,0.21512260830000002
1001.0,-0.04654403613,-0.041970957015,0.213371062,0.22346555085
1002.0,-0.058631226375,-0.04717813905,0.21274770334999998,0.22607324265
1003.0,-0.063055576005,-0.030116323543500002,0.20939269855,0.23841140225000002
1004.0,-0.07611347723,-0.03494180664,0.20709704010000002,0.23173444725
1005.0,-0.072597222825,-0.032024911039500004,0.21454113565,0.2308069821
1006.0,-0.055553527585,-0.057572636535,0.20893662625,0.2388588494
1007.0,-0.05684526032,-0.050387601545,0.20578304744999998,0.21991602735
1008.0,-0.059296407585,-0.06232647042,0.2091663805,0.22819610475000002
1009.0,-0.104985447475,-0.043875441604999996,0.20649961830000002,0.2360661428
1010.0,-0.155231808855,-0.141798124415,0.19527466335,0.30132942115
1011.0,-0.1290615262,-0.025784567825,0.11433101015000001,0.6120862713499999
1012.0,-1.7635221545,-0.28874443920000004,-0.59529386275,2.1156467185
1013.0,-0.3530216583,-0.19404373725000001,0.3522156025,0.68638416385
1014.0,-0.09735477384999999,0.13726078445,0.11596153579999999,0.204846582
1015.0,-0.17819582469999998,0.105709340815,0.1304668964,0.4475856351
1016.0,1.331468599,-0.8867039472,1.109662185,1.946895653
1017.0,-0.2477962072,0.2143409437,0.143234292255,0.48150251385
1018.0,-0.05282836080000003,-0.68460763692,0.6006046672500001,1.53422606
1019.0,0.2981168027,-0.9495672845500001,0.017576948649999993,1.0398010333999999
1020.0,-0.08256452543500001,-0.125987748095,0.2749274186,0.34461464575
1021.0,-0.0908271729,-0.03333868266,0.1961215046,0.22046449665
1022.0,-0.036752965757,0.0228324248255,0.23943922415000002,0.2469820425
1023.0,-0.021628587725000002,-0.03909615424,0.22283760195000002,0.2303965353
1024.0,-0.063547083455,-0.04713171977,0.21419088214999998,0.22913783245000002
1025.0,-0.044990113804999995,-0.03379319774,0.2233198711,0.23051658075
1026.0,-0.042018397459999995,-0.038786906100000004,0.2211495127,0.22934653815
1027.0,-0.062189271465,-0.02365861265,0.21945119145,0.22939715189999998
1028.0,-0.039377317715,-0.034424191374999996,0.22112262729999999,0.22723206554999997
1029.0,-0.071195874615,-0.021383590335,0.2159935885,0.22966201495
1030.0,-0.0589249525,-0.02918519499,0.2184733553,0.2290067438
1031.0,-0.0477444459,-0.035376576635000004,0.22082794249999999,0.2287166852
1032.0,-0.045616940755,-0.032543973515,0.22177845435,0.22911392865
1033.0,-0.042154070190000004,-0.038708358455,0.22204055835,0.22950474795
1034.0,-0.052130245165000005,-0.02701375291,0.21753286765000002,0.22563287869999998
1035.0,-0.04832967897,-0.03741687434,0.2210985712,0.2299250722
1036.0,-0.043981080598,-0.03499104213,0.22473135179999998,0.23555808065
1037.0,-0.037491487605,-0.04289615558,0.2238259275,0.23171695920000002
1038.0,-0.04062302751000001,-0.03366165929000001,0.22242414205,0.22860251905
1039.0,-0.04479103114,-0.03120829553,0.22048990755,0.22722381105
1040.0,-0.049292398434999996,-0.027829810275,0.21660833265,0.22389841259999999
1041.0,-0.035131020345,-0.041835230805,0.22771334599999998,0.23429500185
1042.0,-0.04352568329,-0.03282073607,0.22317884445,0.22997663810000002
1043.0,-0.045842447445000004,-0.03083456851,0.2212965795,0.2281254608
1044.0,-0.03651406515,-0.02846853618,0.22430040834999998,0.22904882085
1045.0,-0.038159455245,-0.026763280804999998,0.22313693355,0.22796026175
1046.0,-0.049254881215,-0.01886180043,0.220405139,0.22704340950000002
1047.0,-0.05575896655,-0.041801570885,0.22114886005,0.2323381322
1048.0,-0.056339244994999996,-0.033268492375,0.21488039075,0.22477164245
1049.0,-0.05764232137,-0.041685487265,0.21781639079999998,0.2291518757
1050.0,-0.05533664301,-0.043653258119999996,0.21532033385,0.22656624485
1051.0,-0.042572650245,-0.03550152456,0.21996821184999998,0.22797876165
1052.0,-0.07446089988499999,-0.04561438074,0.21329780725,0.2304975712
1053.0,-0.055256088575,-0.04513599002,0.21663655175000002,0.22826553905
1054.0,-0.049591698605,-0.043671704575,0.21652274589999998,0.2271920928
1055.0,-0.04420497424,-0.04397568597,0.21652951004999998,0.22533619795
1056.0,-0.05220047889,-0.043778834805,0.21625928725,0.2267495841
1057.0,-0.05691003604,-0.050038847345,0.21265950620000001,0.22577354585
1058.0,-0.06588322397,-0.052054715535000004,0.21161616795,0.2276657601
1059.0,-0.06571647983000001,-0.04674160902,0.21328589025,0.22805019405
1060.0,-0.06019751421,-0.04822268914,0.21195526850000002,0.2255569097
1061.0,-0.058905336945,-0.05098439555,0.21405324195,0.22779152665000002
1062.0,-0.05645857283,-0.053711810400000004,0.21462963905,0.22834528085
1063.0,-0.051136997010000004,-0.050572902435,0.21504914575,0.2267672521
1064.0,-0.038303085269999995,-0.043438492285000005,0.21930014195,0.22685912405
1065.0,-0.03059270041,-0.045476069055,0.22132683614999998,0.22802533725000002
