Time (s),Event,PositionX,PositionY
1354.0,22,925.1750710227273,247.09889914772728
1356.0,8,817.34765625,252.2265625
1357.0,5,817.34765625,252.2265625
1361.0,22,818.2029474431819,255.025390625
1363.0,74,414.42250844594594,208.97270903716216
1364.0,22,447.6404474431818,263.8382457386364
1365.0,17,600.73828125,380.3203125
1366.0,21,646.050037202381,397.3026413690476
1373.0,66,719.4328243371212,366.9361979166667
1374.0,55,752.4394886363636,466.4027698863636
1375.0,49,797.8649553571429,565.8312340561224
1377.0,50,799.815390625,431.39375
1378.0,19,733.7310855263158,265.4502467105263
1379.0,44,402.6246448863636,173.18900923295453
1380.0,34,334.88878676470586,217.20335477941177
1381.0,44,455.62890625,355.7265625
1382.0,18,455.62890625,355.7265625
1383.0,17,455.62890625,355.7265625
1384.0,17,455.62890625,355.7265625
1385.0,12,455.62890625,355.7265625
1387.0,51,779.8982843137255,358.92922794117646
1388.0,62,951.2078503024194,365.7941658266129
1389.0,35,966.58203125,354.64453125
1390.0,17,966.58203125,354.64453125
1391.0,14,966.58203125,354.64453125
1392.0,33,951.4920691287879,397.4856770833333
1393.0,40,947.0234375,407.66796875
1394.0,41,947.0234375,407.66796875
1395.0,33,947.0234375,407.66796875
1396.0,14,947.0234375,407.66796875
1397.0,34,991.5170036764706,325.2100183823529
1403.0,63,1016.9854910714286,304.93160962301585
1404.0,22,1004.6516335227273,283.78196022727275
1412.0,17,910.4028033088235,245.86856617647058
1413.0,51,807.2286305147059,291.9540441176471
1414.0,57,821.76953125,376.640625
1415.0,5,821.76953125,376.640625
1420.0,16,821.76953125,376.640625
1421.0,24,823.9337565104166,377.3367513020833
1422.0,56,904.2677176339286,430.9266880580357
1424.0,15,920.9354166666667,438.8125
1425.0,44,921.1997514204545,438.9236505681818
1426.0,48,517.517578125,312.4659830729167
1427.0,41,419.3594702743902,379.914443597561
1428.0,25,443.484375,429.52734375
1429.0,39,509.0284455128205,457.3350360576923
