,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
30,30.0,-3.0145669765000003,-2.1474177479999996,9.284685382,9.995218882,-38.921822785,-3.01510591,-2.147436825,9.284461219,9.995177273,-13.02267336,-17.986522094999998,284.73333333333335,214.53333333333333,380.3333333333333,234.93333333333337,0.0,1.0,1.0,0.0,-0.0001506648904,-0.0020700507514999,-0.0017071817815,0.0051280330515,-0.076929831285,-0.038908760395,0.1698900696,0.1905194133,0.0,0.0,0.0,21.733137919999997,-125.46578315,-144.53421685,107.98652205,103.02267335,-125.46578315,0
31,31.0,-3.025197769,-2.1475799044999997,9.283335642,9.9972119155,-37.042962450000005,-3.025278848,-2.14761329,9.2832354875,9.9971505945,-13.02535852,-18.049248195,284.8,215.7,380.0,234.2,0.0,1.0,1.0,0.0,-0.00021857019715,-9.867489485e-05,-0.00011671224117,0.0005724179626,-0.07444900809,-0.03932983044,0.17270568495,0.1921439102,0.0,0.0,0.0,21.783310805,-125.370834,-144.62916595000002,108.0492482,103.02535855,-125.370834,0
32,32.0,-3.0123471564999997,-2.1547716215,9.2863629985,9.9976926015,-52.266711685,-3.0124636805,-2.155029585,9.2864977245,9.9979084465,-13.06321515,-17.9722578,287.0,217.0,380.0,232.0,0.0,1.0,1.0,0.0,0.0003236112142265,-0.001061020375185,-0.001392058736,0.0034851562844999,-0.068242384005,-0.04454691075,0.17429970735,0.19245706665,0.0,0.0,0.0,21.743503435,-125.57603375,-144.42396624999998,107.97225775,103.06321515,-125.57603375,0
33,33.0,-3.0208576865000003,-2.1594221300000003,9.282887328,9.9980356825,-49.134981645,-3.020852917,-2.1591025855000003,9.2826774755,9.9977704355,-13.095733,-18.02584324,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0002588889714,0.00147587933985,0.0018355652431,0.0027003900344999,-0.059993318595,-0.0522686637049999,0.17405529205,0.19139584365,0.0,0.0,0.0,21.802241754999997,-125.55954415,-144.4404558,108.02584325,103.095733,-125.55954415,0
34,34.0,-3.0211629240000004,-2.1672390475,9.280698235,9.9977914495,-44.901545555,-3.0208815345,-2.166967196,9.280717314,9.997665109,-13.144635435,-18.031942255,292.0,224.0,389.0,243.0,0.0,0.0,1.0,0.0,0.0010758746577,-0.00258782868038,-0.00351516050145,0.004874565376,-0.06591515305,-0.052450971245,0.1716239949,0.19119341855,0.0,0.0,0.0,21.83292483,-125.6545216,-144.3454784,108.03194225,103.1446354,-125.6545216,0
35,35.0,-3.0131838525,-2.1650546985,9.2825487375,9.996622016,-44.93756544,-3.013455704,-2.1653837815,9.282439044,9.996673347,-13.13623201,-17.98777594,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.000268438154765,0.0002482787667,0.00115757322785,0.0020433903542,-0.06750165278,-0.04705130654,0.1705107086,0.18932945625,0.0,0.0,0.0,21.79418526,-125.707563,-144.292437,107.9877759,103.136232,-125.707563,0
36,36.0,-3.0222550975,-2.1628131175,9.2800591115,9.9965639875,-54.4379669,-3.0220595555000003,-2.162975274,9.280321423,9.996783509,-13.119037025,-18.039296890000003,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.00058886630785,-0.0027289443975,-0.0033475192695,0.004394244622,-0.07789285278,-0.042473028765,0.17100032435,0.19265114735,0.0,0.0,0.0,21.82498236,-125.5877625,-144.4122375,108.0392969,103.119037,-125.5877625,0
37,37.0,-3.0075798955,-2.1635142075,9.285581999,9.997419153,-45.205735155,-3.0074654315,-2.1632137405,9.285419842,9.9971691945,-13.116122605,-17.947338015,283.75,263.0,382.5,256.5,1.0,0.0,0.0,0.0,0.00105041017095,0.00122441751005,0.00155227280305,0.00232900584295,-0.06676943113,-0.0458416628699999,0.1752800269,0.1930975906499999,0.0,0.0,0.0,21.752238705,-125.7297736,-144.2702264,107.947338,103.1161226,-125.7297736,0
38,38.0,-3.0223791010000003,-2.1555875955,9.284780772,9.9994243675,-45.03686171,-3.022741569,-2.1556209805,9.2847998475,9.999558883,-13.07043798,-18.030434325,283.3333333333333,261.1666666666667,382.8333333333333,248.5,0.0,0.0,1.0,0.0,-0.0003777232533,-3.607468899999994e-05,0.00015596999506,0.001621873922,-0.060052257865,-0.04139470993,0.1765917125,0.1910632446,0.0,0.0,0.0,21.792436875,-125.49784515,-144.50215485,108.0304343,103.070438,-125.49784515,0
39,39.0,-2.991430363,-2.1513241274999997,9.294550143,9.9982796755,-42.258790015,-2.991063735,-2.151428747,9.294829722,9.9984522635,-13.032024455,-17.8413507,284.1666666666667,260.75,384.0833333333333,249.66666666666663,0.0,1.0,1.0,0.0,0.00038939447765,-0.0020414031985,-0.00163397137585,0.003792886677,-0.0562089512049999,-0.038160100805,0.17944807075,0.19189932845,0.0,0.0,0.0,21.625544925,-125.7208432,-144.27915675,107.8413507,103.03202445,-125.7208432,0
