Time (s),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2)
329.0,0.778005858,-9.8135513785,1.568650428,9.978353193499998
330.0,0.8620556928800001,-9.484033852500001,2.4017801565,9.941673224
331.0,1.10515301295,-9.5372166315,1.6071770477,9.864954865
332.0,1.06633546685,-9.8575770295,1.5539656757,10.0802273295
333.0,1.22511587175,-9.854252834,1.4713752555,10.052806975500001
334.0,1.34595151655,-9.5771978835,1.988937755,9.896808498999999
335.0,-0.30115432705,-9.687474247,0.79179398025,9.7247166835
336.0,0.16537638025,-7.170848716,6.3693395965,10.070165099499999
337.0,-1.1200666166,-2.045210515,9.486967452,9.826563718500001
338.0,-1.4217408805,-2.42252672,9.650903071,10.05193799
339.0,-3.7348592514999996,-2.6061505499999997,8.8962716585,10.005675388
340.0,-4.3191732335,-2.835125889,8.518674597,9.964092948000001
341.0,-4.996193389,-3.077703354,8.123125736999999,10.025618505
342.0,-3.3183826265,-1.7939104685,9.2553065175,10.0022041165
343.0,-2.486402309,-4.019454503,8.6249494635,9.8938568895
344.0,-4.2162988745,-3.2936775215000003,8.4534206525,10.010172145
345.0,-4.556790624,-3.0858398265,8.3529166665,10.004471789
346.0,-4.3845178075,-3.2034609425,8.3920299205,9.996828733000001
347.0,-4.141759086,-3.1504975875,8.537184376999999,9.9982690385
348.0,-4.108693328499999,-3.121605002,8.562814705000001,9.997521294
349.0,-4.118675546,-3.108332034,8.562728842,9.9972851065
350.0,-4.1197248025,-3.1070299955,8.561212211,9.996012094000001
351.0,-4.077850127,-3.1039442035,8.5904433795,10.003020146
352.0,-3.803747401,-2.8953004775,8.774806408,9.992771888
353.0,-3.9298388175000003,-2.919900665,8.732850626,10.011856271
354.0,-4.0552959045,-2.997879098,8.6357137715,10.0004178975
355.0,-4.051861937,-3.0126353765,8.632709092999999,10.00086975
356.0,-4.048599721,-3.014609876,8.6342543585,10.001469140000001
357.0,-4.043587164,-3.023547584,8.6335246535,10.001516963499999
358.0,-4.035522241500001,-3.0332817690000002,8.635308396500001,10.002739145
359.0,-4.035426855,-3.0304154065,8.6342495865,10.00091772
360.0,-4.0488286485,-3.0279782849999997,8.6272005425,9.999516688
361.0,-4.0484280255,-3.0188402635,8.633081119,10.001667675
362.0,-4.0652762775,-3.0110494025000003,8.6265914865,10.0005491215
363.0,-4.065182652000001,-3.0135606245,8.6263659065,10.00107265
364.0,-4.056850647,-3.019088268,8.62742947,10.000274600000001
365.0,-4.066627756,-3.01282138,8.6262419005,10.00133022
366.0,-4.062132022,-3.016904663,8.627435199499999,10.001766805
367.0,-4.0605611790000005,-3.01921704,8.626051139,10.000629870000001
368.0,-4.0670625465,-3.0139920195,8.624989530499999,10.000779598000001
369.0,-4.0563069254999995,-3.0211753674999997,8.6277799165,10.000989645
370.0,-4.0625829705,-3.0178167289999998,8.624838432,9.999982258500001
371.0,-4.068406713,-3.0159071305,8.623027387499999,10.000211629999999
372.0,-4.0539461305,-3.0216589325000003,8.6273388575,9.9997940445
373.0,-4.0676483910000005,-3.0134366225,8.624329419,10.000281142
374.0,-4.062220903,-3.018515953,8.624796799,10.000013891
375.0,-4.060499178000001,-3.021773396,8.624944649,10.0004221405
376.0,-4.0667774745,-3.0166043865,8.6239193905,10.00052835
377.0,-4.057933283000001,-3.0226271044999997,8.6258412815,10.000414806
378.0,-4.0651826515,-3.0173522349999997,8.625211731,10.001220845
379.0,-4.065836049,-3.0195127380000004,8.6244390875,10.001472055
380.0,-4.0579714375,-3.0246874515,8.6248206355,10.000173034
381.0,-4.064834491,-3.0192265784999996,8.623413705,10.000094693
382.0,-4.0615055049999995,-3.0231851150000004,8.623862002500001,10.000325095
383.0,-4.0677771625000005,-3.0194507365,8.6227030715,10.0007467665
384.0,-4.0673145385,-3.019131192,8.621629971499999,9.999535697999999
385.0,-4.0604449795,-3.0259191669999996,8.622942677000001,9.9999286125
386.0,-4.0692564915,-3.0187448960000003,8.6207842215,9.999479549
387.0,-4.0610623965,-3.0265560144999997,8.6219682665,9.9995310125
388.0,-4.0663320585000005,-3.021382312,8.621920888,10.000067376499999
389.0,-4.053459693500001,-3.0156353095,8.625307155,9.9960290145
