"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.300332954E2,-1.490775372E2,1.574113585E2
1.305407094E2,-1.490880579E2,1.574088716E2
1.310481224E2,-1.490801914E2,1.574861186E2
1.315555354E2,-1.490462561E2,1.575092376E2
1.320629484E2,-1.491082516E2,1.574535906E2
1.325703617E2,-1.491085433E2,1.574653184E2
1.330777743E2,-1.490798756E2,1.574692324E2
1.335851872E2,-1.491107458E2,1.575220513E2
1.340926002E2,-1.490934917E2,1.576387434E2
1.346000132E2,-1.491654233E2,1.577264198E2
1.351074266E2,-1.491859152E2,1.575478470E2
1.356148396E2,-1.492035890E2,1.575719981E2
1.361222529E2,-1.491441297E2,1.576202493E2
1.366296659E2,-1.490779116E2,1.577767015E2
1.371370788E2,-1.490545200E2,1.576109697E2
1.376444917E2,-1.490735431E2,1.576867128E2
1.381519035E2,-1.491149102E2,1.574960217E2
1.386593155E2,-1.491202383E2,1.575886910E2
1.391667287E2,-1.491046478E2,1.575930269E2
1.396741417E2,-1.490452296E2,1.576501416E2
1.401815534E2,-1.490702420E2,1.575562565E2
1.406889664E2,-1.490680273E2,1.574577019E2
1.411963788E2,-1.490667647E2,1.573819431E2
1.417037908E2,-1.490960285E2,1.573471206E2
1.422112032E2,-1.490250304E2,1.574207061E2
1.427186152E2,-1.489046854E2,1.580161706E2
1.432260279E2,-1.489387056E2,1.582737884E2
1.437334399E2,-1.489750835E2,1.582022036E2
1.442408523E2,-1.489710673E2,1.581486877E2
1.447482653E2,-1.489834327E2,1.582982534E2
1.452556774E2,-1.489506997E2,1.583867618E2
1.457630894E2,-1.489893079E2,1.582935932E2
1.467779141E2,-1.489972991E2,1.582574219E2
1.472853265E2,-1.490037623E2,1.583157548E2
1.477927385E2,-1.489575005E2,1.584058823E2
1.483001509E2,-1.489739605E2,1.583943543E2
1.488075639E2,-1.490078201E2,1.583488357E2
1.493149759E2,-1.490345262E2,1.582814446E2
1.498223879E2,-1.490062377E2,1.582302717E2
1.503297991E2,-1.490098717E2,1.582319605E2
1.508372111E2,-1.490704107E2,1.580969103E2
1.513446228E2,-1.490017226E2,1.580997841E2
1.518520347E2,-1.490226628E2,1.580433639E2
1.523594484E2,-1.489493078E2,1.580440073E2
1.528668604E2,-1.490812294E2,1.580124812E2
1.533742723E2,-1.489232749E2,1.577081676E2
1.538816843E2,-1.490047970E2,1.571234635E2
1.543890963E2,-1.489974556E2,1.570378010E2
1.548965082E2,-1.489281803E2,1.571876224E2
1.554039208E2,-1.490649671E2,1.573757408E2
1.559113327E2,-1.490677153E2,1.576519044E2
1.564187447E2,-1.490400744E2,1.574073673E2
1.569261567E2,-1.490249123E2,1.573865100E2
1.574335688E2,-1.490240296E2,1.573838516E2
1.579409808E2,-1.490294008E2,1.574676660E2
1.584483929E2,-1.490057997E2,1.575346761E2
1.589558049E2,-1.490046433E2,1.576905587E2
1.594632164E2,-1.490335819E2,1.575528432E2
1.599706284E2,-1.490359079E2,1.574589945E2
1.604780402E2,-1.490557240E2,1.573739689E2
1.609854522E2,-1.491001348E2,1.569120678E2
1.614928647E2,-1.490662170E2,1.565953336E2
1.620002758E2,-1.490291352E2,1.568098847E2
1.625076879E2,-1.489982389E2,1.569858176E2
1.630150999E2,-1.490217075E2,1.571087770E2
1.635225108E2,-1.489896603E2,1.571722510E2
1.640299228E2,-1.490153946E2,1.571741915E2
1.645373355E2,-1.490303667E2,1.571516588E2
1.650447475E2,-1.490487483E2,1.570927370E2
1.655521595E2,-1.490020823E2,1.572178056E2
1.660595715E2,-1.489853067E2,1.573227820E2
1.665669827E2,-1.490307713E2,1.571552075E2
1.670743948E2,-1.490594507E2,1.571040717E2
1.675818062E2,-1.490591049E2,1.570661008E2
1.680892182E2,-1.490754096E2,1.570678410E2
1.685966300E2,-1.490564843E2,1.570711201E2
1.691040420E2,-1.490296931E2,1.572133823E2
1.696114530E2,-1.490210241E2,1.572507041E2
1.701188669E2,-1.490509424E2,1.571587770E2
1.706262789E2,-1.490725386E2,1.571385834E2
1.711336898E2,-1.490106031E2,1.570648181E2
1.716411018E2,-1.490448061E2,1.570101543E2
1.721485137E2,-1.490164513E2,1.571512312E2
1.731633359E2,-1.490711381E2,1.571141158E2
1.736707479E2,-1.491246674E2,1.567863398E2
1.741781598E2,-1.490517441E2,1.565725501E2
1.746855718E2,-1.489649464E2,1.566630711E2
1.751929845E2,-1.488738749E2,1.563437802E2
1.757003955E2,-1.489460007E2,1.565076403E2
1.762078078E2,-1.489975261E2,1.565003445E2
1.767152198E2,-1.489232853E2,1.563632479E2
1.772226319E2,-1.489100695E2,1.565739002E2
1.777300439E2,-1.490112813E2,1.561985280E2
1.782374540E2,-1.488599364E2,1.563014573E2
1.787448660E2,-1.489799457E2,1.564369533E2
1.792522784E2,-1.489645133E2,1.570988506E2
1.797596904E2,-1.488707273E2,1.581146641E2
1.802671024E2,-1.489329210E2,1.585378333E2
1.807745144E2,-1.489768730E2,1.582025386E2
1.812819251E2,-1.491887952E2,1.579225868E2
1.817893371E2,-1.495356678E2,1.583884844E2
1.822967501E2,-1.503398731E2,1.582511186E2
1.828041621E2,-1.503549451E2,1.582060622E2
1.833115736E2,-1.502647787E2,1.582336210E2
1.838189856E2,-1.502767017E2,1.584157170E2
1.843263975E2,-1.503264668E2,1.582844948E2
1.848338095E2,-1.503351910E2,1.580768450E2
1.853412218E2,-1.503187435E2,1.580289033E2
1.858486327E2,-1.503501919E2,1.579827291E2
1.863560447E2,-1.503653141E2,1.580149832E2
1.868634567E2,-1.503756386E2,1.580761889E2
1.873708681E2,-1.503578022E2,1.580094005E2
1.878782801E2,-1.503594014E2,1.580082017E2
1.883856921E2,-1.503729971E2,1.579965480E2
1.888931041E2,-1.503271859E2,1.580481600E2
1.894005161E2,-1.503088985E2,1.580811235E2
1.899079281E2,-1.503485830E2,1.580285169E2
1.904153401E2,-1.503627677E2,1.579891494E2
1.909227521E2,-1.503412518E2,1.579845326E2
1.914301649E2,-1.503516566E2,1.579726957E2
1.919375779E2,-1.503474471E2,1.579995540E2
1.924449895E2,-1.502935408E2,1.580588304E2
1.929524015E2,-1.503337594E2,1.579961240E2
1.934598137E2,-1.503390255E2,1.579621755E2
1.939672257E2,-1.503545197E2,1.579575688E2
1.944746375E2,-1.503395938E2,1.579342843E2
1.949820495E2,-1.503473625E2,1.579378726E2
1.954894615E2,-1.503241549E2,1.579688126E2
1.959968745E2,-1.502789180E2,1.580819208E2
1.970116981E2,-1.503202709E2,1.579317275E2
1.975191099E2,-1.503262520E2,1.579115614E2
1.980265219E2,-1.503339044E2,1.579189906E2
1.985339351E2,-1.503318587E2,1.579184572E2
1.990413471E2,-1.503033472E2,1.579546735E2
1.995487589E2,-1.502775934E2,1.580351569E2
2.000561709E2,-1.503249848E2,1.579547248E2
2.005635841E2,-1.503343935E2,1.579199502E2
2.010709961E2,-1.503311788E2,1.579252127E2
2.015784082E2,-1.503394103E2,1.579278992E2
2.020858202E2,-1.503318283E2,1.579170349E2
2.025932332E2,-1.503216725E2,1.579563049E2
2.031006453E2,-1.503212877E2,1.580998465E2
2.036080576E2,-1.503917866E2,1.579287943E2
2.041154706E2,-1.503364348E2,1.568417323E2
2.046228820E2,-1.496813338E2,1.550368012E2
2.051302940E2,-1.490474349E2,1.549109470E2
2.056377075E2,-1.484917772E2,1.559946741E2
2.061451195E2,-1.486406984E2,1.572517020E2
2.066525307E2,-1.486647217E2,1.569381972E2
2.071599439E2,-1.486544715E2,1.571280528E2
2.076673559E2,-1.485938617E2,1.572104580E2
2.081747689E2,-1.482394064E2,1.574755621E2
2.086821819E2,-1.485787074E2,1.572439301E2
2.091895939E2,-1.480775981E2,1.568759352E2
2.096970059E2,-1.484316179E2,1.569517983E2
2.102044178E2,-1.484171991E2,1.577383394E2
2.107118297E2,-1.484184090E2,1.583603569E2
2.112192440E2,-1.483602424E2,1.591253266E2
2.117266560E2,-1.497849766E2,1.583261989E2
2.122340675E2,-1.501099578E2,1.583855886E2
2.127414805E2,-1.507020620E2,1.593612252E2
2.132488929E2,-1.504451617E2,1.592767566E2
2.137563059E2,-1.504371253E2,1.596254988E2
2.142637177E2,-1.505781831E2,1.597241795E2
2.147711307E2,-1.506811383E2,1.594859819E2
2.152785420E2,-1.506840982E2,1.593855195E2
2.157859550E2,-1.506939296E2,1.593623582E2
2.162933670E2,-1.506557673E2,1.593865347E2
2.168007800E2,-1.506238261E2,1.595344123E2
2.173081930E2,-1.506644583E2,1.594643849E2
2.178156050E2,-1.506680231E2,1.594017493E2
2.183230184E2,-1.506896653E2,1.593634518E2
2.188304304E2,-1.506960590E2,1.593728948E2
2.193378431E2,-1.506866546E2,1.593590963E2
2.198452561E2,-1.506630641E2,1.594975237E2
2.203526679E2,-1.506690474E2,1.595582180E2
2.208600809E2,-1.507251987E2,1.594591048E2
2.213674945E2,-1.507438124E2,1.594219272E2
2.218749065E2,-1.507322083E2,1.593588672E2
2.223823193E2,-1.507548257E2,1.592785402E2
2.233971454E2,-1.506970697E2,1.595269076E2
2.239045584E2,-1.507344989E2,1.594467878E2
2.244119701E2,-1.507326719E2,1.594109976E2
2.249193831E2,-1.507619987E2,1.593966538E2
2.254267966E2,-1.507443914E2,1.593499119E2
2.259342086E2,-1.507338888E2,1.594172908E2
2.264416216E2,-1.506864849E2,1.595467790E2
2.269490346E2,-1.507055544E2,1.595105658E2
2.274564472E2,-1.507315180E2,1.592510200E2
2.279638602E2,-1.505494478E2,1.590631263E2
2.284712724E2,-1.505994590E2,1.591829219E2
2.289786854E2,-1.505222221E2,1.593245220E2
2.294860985E2,-1.504641102E2,1.596946031E2
2.299935115E2,-1.504758864E2,1.593159272E2
2.305009240E2,-1.505225632E2,1.592309441E2
2.310083370E2,-1.504117292E2,1.585450300E2
2.315157507E2,-1.505784415E2,1.584430742E2
2.320231627E2,-1.504433477E2,1.586228874E2
2.325305755E2,-1.505243221E2,1.589842729E2
2.330379885E2,-1.505302635E2,1.588669614E2
2.335454014E2,-1.506185480E2,1.588732429E2
2.340528144E2,-1.505579515E2,1.589496423E2
2.345602270E2,-1.505274752E2,1.592105872E2
2.350676400E2,-1.504700572E2,1.592927121E2
2.355750530E2,-1.505035768E2,1.594505104E2
2.360824660E2,-1.506271285E2,1.592335970E2
2.365898789E2,-1.504466913E2,1.591378547E2
2.370972919E2,-1.504915657E2,1.590620934E2
2.376047060E2,-1.505943329E2,1.593774349E2
2.381121190E2,-1.505904147E2,1.595677466E2
2.386195311E2,-1.507204036E2,1.594884330E2
2.391269441E2,-1.507905168E2,1.593705145E2
2.396343574E2,-1.507117535E2,1.592224289E2
2.401417704E2,-1.506585393E2,1.591400744E2
2.406491831E2,-1.505578480E2,1.592292970E2
2.411565961E2,-1.504800597E2,1.593180791E2
2.416640091E2,-1.504503206E2,1.592721057E2
2.421714221E2,-1.504486151E2,1.591269977E2
2.426788356E2,-1.499911535E2,1.590360640E2
2.431862496E2,-1.494913264E2,1.587901136E2
2.436936629E2,-1.494124355E2,1.587982777E2
2.442010749E2,-1.495564240E2,1.586991605E2
2.447084879E2,-1.495739133E2,1.585708278E2
2.452159012E2,-1.495023210E2,1.588580934E2
2.457233143E2,-1.495511497E2,1.588927875E2
2.462307275E2,-1.495930394E2,1.588505443E2
2.467381405E2,-1.495127158E2,1.589115266E2
2.472455549E2,-1.495259213E2,1.589231736E2
2.482603807E2,-1.495142709E2,1.590306392E2
2.487677937E2,-1.495690244E2,1.589313349E2
2.492752075E2,-1.495618523E2,1.588949260E2
2.497826205E2,-1.495846178E2,1.589294653E2
2.502900330E2,-1.494952806E2,1.590086727E2
2.507974460E2,-1.495040522E2,1.590440464E2
2.513048600E2,-1.495530842E2,1.589752492E2
2.518122730E2,-1.495613202E2,1.589563307E2
2.523196866E2,-1.495794856E2,1.589687335E2
2.528271006E2,-1.495765522E2,1.589545788E2
2.533345135E2,-1.494535326E2,1.590110288E2
2.538419265E2,-1.494688002E2,1.591245937E2
2.543493407E2,-1.495453896E2,1.590157720E2
2.548567538E2,-1.495614911E2,1.589948479E2
2.553641671E2,-1.495920037E2,1.589500675E2
2.558715801E2,-1.495765930E2,1.589535044E2
2.563789935E2,-1.495158325E2,1.590702183E2
2.568864075E2,-1.495004003E2,1.590843721E2
2.573938208E2,-1.496363103E2,1.590022448E2
2.579012347E2,-1.496041997E2,1.588832961E2
2.584086474E2,-1.496125937E2,1.588888265E2
2.589160614E2,-1.496325220E2,1.589085220E2
2.594234744E2,-1.495227425E2,1.590466421E2
2.599308884E2,-1.494645918E2,1.590256908E2
2.604383012E2,-1.492438825E2,1.587718890E2
2.609457152E2,-1.493143918E2,1.587740513E2
2.614531281E2,-1.493044699E2,1.586536739E2
2.619605421E2,-1.493593024E2,1.587443858E2
2.624679550E2,-1.493188753E2,1.588840773E2
2.629753690E2,-1.492443310E2,1.587370554E2
2.634827829E2,-1.493116070E2,1.586304576E2
2.639901969E2,-1.494173311E2,1.586800378E2
2.644976091E2,-1.493270598E2,1.585483516E2
2.650050231E2,-1.493635443E2,1.585486603E2
2.655124365E2,-1.492760532E2,1.586484818E2
2.660198505E2,-1.493876504E2,1.587220538E2
2.665272631E2,-1.495175284E2,1.587351480E2
2.670346771E2,-1.495530133E2,1.587820711E2
2.675420910E2,-1.495739066E2,1.588054435E2
2.680495040E2,-1.495494794E2,1.587806605E2
2.685569187E2,-1.494622036E2,1.588842293E2
