"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.025932332E2,1.446056931E2,-1.196783275E2
2.031006453E2,1.448012090E2,-1.196787123E2
2.036080576E2,1.444912820E2,-1.196082134E2
2.041154706E2,1.430929024E2,-1.196635652E2
2.046228820E2,1.414782230E2,-1.203186662E2
2.051302940E2,1.420215165E2,-1.209525651E2
2.056377075E2,1.440017865E2,-1.215082228E2
2.061451195E2,1.454711749E2,-1.213593016E2
2.066525307E2,1.450363356E2,-1.213352783E2
2.071599439E2,1.452949183E2,-1.213455285E2
2.076673559E2,1.454664007E2,-1.214061383E2
2.081747689E2,1.461821669E2,-1.217605936E2
2.086821819E2,1.455260844E2,-1.214212926E2
2.091895939E2,1.455709559E2,-1.219224019E2
2.096970059E2,1.452995548E2,-1.215683821E2
2.102044178E2,1.463429703E2,-1.215828009E2
2.107118297E2,1.471643248E2,-1.215815910E2
2.112192440E2,1.482456671E2,-1.216397576E2
2.117266560E2,1.456895069E2,-1.202150234E2
2.122340675E2,1.454206051E2,-1.198900422E2
2.127414805E2,1.461290987E2,-1.192979380E2
2.132488929E2,1.462884234E2,-1.195548383E2
2.137563059E2,1.467851306E2,-1.195628747E2
2.142637177E2,1.467731146E2,-1.194218169E2
2.147711307E2,1.463269542E2,-1.193188617E2
2.152785420E2,1.461826514E2,-1.193159018E2
2.157859550E2,1.461395048E2,-1.193060704E2
2.162933670E2,1.462147439E2,-1.193442327E2
2.168007800E2,1.464568858E2,-1.193761738E2
2.173081930E2,1.463146275E2,-1.193355417E2
2.178156050E2,1.462228277E2,-1.193319769E2
2.183230184E2,1.461456608E2,-1.193103347E2
2.188304304E2,1.461519785E2,-1.193039410E2
2.193378431E2,1.461428148E2,-1.193133454E2
2.198452561E2,1.463627048E2,-1.193369359E2
2.203526679E2,1.464416251E2,-1.193309526E2
2.208600809E2,1.462414952E2,-1.192748013E2
2.213674945E2,1.461690564E2,-1.192561876E2
2.218749065E2,1.460930826E2,-1.192677917E2
2.223823193E2,1.459558339E2,-1.192451743E2
2.233971454E2,1.463673047E2,-1.193029303E2
2.239045584E2,1.462141011E2,-1.192655011E2
2.244119701E2,1.461657809E2,-1.192673281E2
2.249193831E2,1.461138015E2,-1.192380013E2
2.254267966E2,1.460672844E2,-1.192556086E2
2.259342086E2,1.461733032E2,-1.192661112E2
2.264416216E2,1.464067059E2,-1.193135151E2
2.269490346E2,1.463351377E2,-1.192944456E2
2.274564472E2,1.459426355E2,-1.192684820E2
2.279638602E2,1.458781253E2,-1.194505522E2
2.284712724E2,1.459908406E2,-1.194005410E2
2.289786854E2,1.462721329E2,-1.194777779E2
2.294860985E2,1.468534406E2,-1.195358898E2
2.299935115E2,1.463100344E2,-1.195241136E2
2.305009240E2,1.461410659E2,-1.194774368E2
2.310083370E2,1.453113396E2,-1.195882708E2
2.315157507E2,1.449887689E2,-1.194215585E2
2.320231627E2,1.453840163E2,-1.195566523E2
2.325305755E2,1.457957726E2,-1.194756779E2
2.330379885E2,1.456265779E2,-1.194697364E2
2.335454014E2,1.455390903E2,-1.193814520E2
2.340528144E2,1.457111501E2,-1.194420485E2
2.345602270E2,1.461073574E2,-1.194725248E2
2.350676400E2,1.462838935E2,-1.195299428E2
2.355750530E2,1.464685145E2,-1.194964232E2
2.360824660E2,1.460316246E2,-1.193728715E2
2.365898789E2,1.460932670E2,-1.195533087E2
2.370972919E2,1.459394060E2,-1.195084343E2
2.376047060E2,1.462683868E2,-1.194056671E2
2.381121190E2,1.465397162E2,-1.194095853E2
2.386195311E2,1.462879352E2,-1.192795963E2
2.391269441E2,1.460460792E2,-1.192094832E2
2.396343574E2,1.459241118E2,-1.192882465E2
2.401417704E2,1.458668898E2,-1.193414607E2
2.406491831E2,1.461006332E2,-1.194421520E2
2.411565961E2,1.463085479E2,-1.195199403E2
2.416640091E2,1.462763838E2,-1.195496794E2
2.421714221E2,1.460760872E2,-1.195513849E2
2.426788356E2,1.464403057E2,-1.200088465E2
2.431862496E2,1.466315334E2,-1.205086736E2
2.436936629E2,1.467253779E2,-1.205875645E2
2.442010749E2,1.464391900E2,-1.204435759E2
2.447084879E2,1.462462196E2,-1.204260867E2
2.452159012E2,1.467126402E2,-1.204976790E2
2.457233143E2,1.467087344E2,-1.204488503E2
2.462307275E2,1.466069996E2,-1.204069606E2
2.467381405E2,1.467746520E2,-1.204872842E2
2.472455549E2,1.467767113E2,-1.204740787E2
2.482603807E2,1.469358262E2,-1.204857290E2
2.487677937E2,1.467426338E2,-1.204309756E2
2.492752075E2,1.467004133E2,-1.204381477E2
2.497826205E2,1.467236992E2,-1.204153822E2
2.502900330E2,1.469256394E2,-1.205047194E2
2.507974460E2,1.469648549E2,-1.204959478E2
2.513048600E2,1.468194080E2,-1.204469158E2
2.518122730E2,1.467848963E2,-1.204386798E2
2.523196866E2,1.467827982E2,-1.204205144E2
2.528271006E2,1.467665140E2,-1.204234477E2
2.533345135E2,1.469724788E2,-1.205464674E2
2.538419265E2,1.471119083E2,-1.205311998E2
2.543493407E2,1.468829136E2,-1.204546104E2
2.548567538E2,1.468374069E2,-1.204385089E2
2.553641671E2,1.467441166E2,-1.204079963E2
