"Time (s)","Sound pressure level (dB)"
4.646713849E2,-4.593273537E1
4.651994786E2,-4.299676192E1
4.657433866E2,-4.343287655E1
4.662849992E2,-4.369671924E1
4.668256146E2,-4.292870846E1
4.673718215E2,-3.127223856E1
4.679226156E2,-4.230449893E1
4.684725618E2,-4.659527438E1
4.690186197E2,-4.407969843E1
4.695736951E2,-4.382177618E1
4.701212755E2,-4.606367925E1
4.706424479E2,-4.412433217E1
4.711912243E2,-3.916274138E1
4.717382999E2,-4.334391730E1
4.722882735E2,-4.483856181E1
4.728292237E2,-4.321786425E1
4.733783525E2,-4.297573460E1
4.739255116E2,-4.436637964E1
4.744737098E2,-4.731150432E1
4.750269013E2,-4.484239082E1
4.755766228E2,-4.694882461E1
4.761020780E2,-5.113886064E1
4.766269950E2,-4.822484090E1
4.771801102E2,-4.963775351E1
4.777324939E2,-5.069650411E1
4.782866758E2,-4.823567152E1
4.788163448E2,-3.618234941E1
4.793696648E2,-4.172528928E1
4.799230369E2,-4.915842354E1
4.804651963E2,-4.791426166E1
4.810113432E2,-4.876353607E1
4.815508477E2,-5.085535809E1
4.821040465E2,-4.341440118E1
4.826529644E2,-3.927651410E1
4.832030632E2,-4.584084258E1
4.837522686E2,-4.379044203E1
4.842960354E2,-4.699719520E1
4.848436780E2,-4.644659514E1
4.853946389E2,-4.633227505E1
4.859452535E2,-4.874178895E1
4.864994036E2,-4.514492716E1
4.870465480E2,-3.953128578E1
4.875911698E2,-4.753594405E1
4.881471538E2,-4.673254729E1
4.886883875E2,-4.279039734E1
4.892245324E2,-4.527192179E1
4.897688135E2,-3.170925004E1
4.903105301E2,-4.152969010E1
4.908639829E2,-4.055924868E1
4.914018410E2,-2.076270668E1
4.919224227E2,-3.989540339E1
4.924392554E2,-4.816130960E1
4.929841269E2,-3.368254717E1
4.935370222E2,-1.666253287E1
4.940910554E2,-2.292753369E1
4.946577415E2,-3.233715803E1
4.951976313E2,-4.606969545E1
4.957404760E2,-4.861349515E1
4.962746687E2,-4.512261127E1
4.967910995E2,-4.778353228E1
4.973315695E2,-4.747703269E1
4.978645517E2,-4.800084071E1
4.984083695E2,-3.997645152E1
4.989518619E2,-4.547137828E0
4.995023548E2,-6.054780016E1
5.000555266E2,-5.047668182E1
5.006069416E2,-5.086650653E1
5.011553239E2,-5.243926006E1
5.016997756E2,-4.681679953E1
5.022354544E2,-4.594841103E1
5.027701053E2,-4.612033279E1
5.033030145E2,-4.497662623E1
5.038390273E2,-4.414409131E1
5.043970621E2,-4.626442085E1
5.049474755E2,-4.408491848E1
5.054912014E2,-4.753295058E1
5.060245774E2,-4.714971610E1
5.065574692E2,-4.606874025E1
5.071154798E2,-4.847201307E1
5.076649651E2,-4.586268151E1
5.082247899E2,-4.680470828E1
5.087544981E2,-4.344878959E1
5.093027178E2,-4.309320968E1
5.098477784E2,-4.748578955E1
5.103910761E2,-4.872863447E1
5.109478213E2,-4.765327948E1
5.115023998E2,-4.850477347E1
5.120530150E2,-4.556465845E1
5.126004535E2,-4.867741254E1
5.131381715E2,-4.453229779E1
5.136745662E2,-4.540250863E1
5.142291969E2,-4.767270675E1
5.147638642E2,-4.541928840E1
5.153174216E2,-4.421947952E1
5.158638841E2,-3.936790258E1
5.164075531E2,-3.986094683E1
5.169516163E2,-4.596901778E1
5.175050821E2,-4.914717719E1
5.180530366E2,-4.404777641E1
5.186121349E2,-4.849135862E1
5.191290774E2,-4.576056724E1
5.196747216E2,-4.845082284E1
5.202175452E2,-4.727881474E1
5.207655509E2,-4.361717778E1
5.213280886E2,-4.970630272E1
5.218637513E2,-4.580957757E1
5.223931984E2,-3.825533568E1
5.229478777E2,-4.530975960E1
5.234963790E2,-4.752712173E1
5.240367058E2,-4.406916097E1
5.245826222E2,-4.355202462E1
5.251289779E2,-4.605858817E1
5.256794965E2,-4.827774757E1
5.262317227E2,-4.479666758E1
5.267803179E2,-4.799461852E1
5.273068145E2,-5.107966135E1
5.278543453E2,-4.521943170E1
5.284030640E2,-5.010553920E1
5.289469369E2,-4.783568777E1
5.295014435E2,-4.995222701E1
5.300370973E2,-4.941766110E1
5.305873649E2,-4.965149004E1
5.311302765E2,-5.092799632E1
5.316831787E2,-4.757236524E1
5.322272273E2,-4.833257792E1
5.327665590E2,-4.896068028E1
5.333027513E2,-5.003524131E1
5.338279725E2,-4.915078696E1
5.343879374E2,-4.890575899E1
5.349226060E2,-4.580784683E1
5.354493063E2,-4.955707651E1
5.360120795E2,-4.632060992E1
5.365489963E2,-4.796099265E1
5.370797162E2,-4.703548966E1
5.376295990E2,-5.100483044E1
5.381645562E2,-5.115572049E1
5.387278067E2,-5.394661455E1
5.392665270E2,-4.882360927E1
5.398308255E2,-4.807655198E1
5.403655120E2,-4.961763437E1
5.408911062E2,-5.041789552E1
5.414350576E2,-5.022171043E1
5.419586018E2,-4.999665748E1
5.425045163E2,-5.025807591E1
5.430729636E2,-4.961830574E1
5.436058169E2,-5.093220965E1
5.441631940E2,-4.561014487E1
5.446906893E2,-4.449318743E1
5.452347087E2,-3.949536533E1
5.457857348E2,-3.935164980E1
5.463507751E2,-4.210295074E1
5.468996911E2,-4.595460987E1
5.474396190E2,-4.341392005E1
5.479977805E2,-4.396782066E1
5.485433938E2,-4.314112008E1
5.490855187E2,-4.080953987E1
5.496233092E2,-4.349307373E1
5.501528822E2,-4.297290679E1
5.506898560E2,-4.299811436E1
5.512219704E2,-4.324536992E1
5.517556873E2,-4.180372454E1
5.523190588E2,-4.338831936E1
5.528667493E2,-4.436386013E1
5.534175596E2,-4.207609258E1
5.539770412E2,-4.425555882E1
5.545153290E2,-4.232841812E1
5.550645057E2,-4.340546287E1
5.555997806E2,-4.546149067E1
5.561361574E2,-4.344964596E1
5.566915988E2,-4.193543517E1
5.572404133E2,-4.467233829E1
5.577762246E2,-4.168887381E1
5.583257700E2,-4.824551981E1
5.588737039E2,-4.477788740E1
5.594265654E2,-4.485520599E1
5.599868011E2,-4.706931414E1
5.605252557E2,-4.101361847E1
5.610742250E2,-4.554907981E1
5.616186106E2,-4.578864471E1
5.621502613E2,-4.026980232E1
5.626930176E2,-3.733252197E1
5.632517892E2,-3.641836747E1
5.637871226E2,-3.628934885E1
5.643336352E2,-3.722818059E1
5.648769164E2,-4.730456495E1
5.654315664E2,-4.150270613E1
5.659665272E2,-4.792145760E1
5.665148414E2,-4.428355146E1
5.670662774E2,-4.644768560E1
5.675919181E2,-4.755219061E1
5.681221592E2,-4.817414310E1
5.686675499E2,-4.931534232E1
5.692264867E2,-5.181355289E1
5.697624536E2,-4.923273562E1
5.703122104E2,-5.088820226E1
5.708687784E2,-5.138308943E1
5.714190763E2,-4.985866403E1
5.719536887E2,-4.934063244E1
5.724819505E2,-4.799971297E1
5.730153464E2,-4.966948088E1
5.735532232E2,-5.099032731E1
5.740992194E2,-4.594270845E1
5.746234182E2,-4.451724006E1
5.751656727E2,-4.906616517E1
5.757117981E2,-4.774813976E1
5.762624702E2,-4.420025478E1
5.768070214E2,-4.282057443E1
5.773484765E2,-4.400714073E1
5.778952070E2,-2.773031920E1
5.784468929E2,-3.693252111E1
5.789993157E2,-3.728340082E1
5.795515799E2,-3.558733536E1
5.800907496E2,-4.325108810E1
5.806304616E2,-3.754320736E1
5.811696701E2,-3.851818230E1
5.817154770E2,-2.052144276E1
5.822561192E2,-3.249771860E1
5.827963472E2,-4.261298798E1
5.833532097E2,-4.814147000E1
5.838819780E2,-2.254799065E1
5.844258376E2,-1.075445766E1
5.849689194E2,-3.195268366E1
5.855147434E2,-2.378960538E1
5.860566894E2,-1.843521413E1
5.865978105E2,-3.137642975E1
5.871510022E2,-3.512426794E1
5.876918877E2,-3.634349370E1
5.882284047E2,-4.634963127E1
5.887772902E2,-2.804214846E1
5.893194484E2,-2.450610115E1
5.898651520E2,-3.378267132E1
5.903761113E2,-3.583014933E1
5.909063245E2,-3.650247229E1
5.914312994E2,-3.540458293E1
5.919705452E2,-3.734379865E1
5.925115052E2,-3.859847778E1
5.930591645E2,-3.247305529E1
5.936007327E2,-1.501899637E1
5.941416929E2,-3.867205827E1
5.946672469E2,-3.759145572E1
5.952185852E2,-3.855815341E1
5.957615462E2,-4.196898119E1
5.963008706E2,-3.814692090E1
5.968546388E2,-3.911997862E1
5.973988635E2,-3.400426023E1
5.979527164E2,-2.310804393E1
5.984894894E2,-3.537231798E1
5.990299617E2,-3.272718650E1
5.995651441E2,-3.430906315E1
6.000933231E2,-3.220511378E1
6.006405987E2,-3.306180680E1
6.011858715E2,-3.405204803E1
6.017301921E2,-3.286598753E1
6.022826048E2,-3.061516240E1
6.028096381E2,-2.722355615E1
6.033311919E2,-2.002368140E1
6.038704054E2,-3.006319777E1
6.044158452E2,-3.631087534E1
6.049498383E2,-3.231973701E1
6.054781401E2,-2.997817771E1
6.060235551E2,-1.654311941E1
6.065646058E2,-1.896780537E1
6.071009869E2,-2.410868067E1
6.076457317E2,-2.805567076E1
6.082029489E2,-2.964506365E1
6.087356113E2,-3.417607778E1
6.092892572E2,-3.758948769E1
6.098264977E2,-2.760604858E1
6.103498345E2,-3.805874123E1
6.108874437E2,-5.140870960E1
6.114395282E2,-3.248714756E1
6.119862063E2,-1.989284490E1
6.125271590E2,-4.782410062E1
6.130690981E2,-3.487548381E1
6.135982419E2,-3.901209070E1
6.141347785E2,-3.948332178E1
6.146753634E2,-3.260428176E1
6.152274678E2,-2.752642828E1
6.157707681E2,-3.881924273E1
6.162999200E2,-5.818602263E1
6.168492905E2,-4.371992239E1
6.174145098E2,-4.760132913E1
6.179732083E2,-3.040255199E1
6.185347462E2,-3.023614285E1
6.190915189E2,-2.899028936E1
6.196299588E2,-3.394841498E1
6.201648226E2,-4.618521646E1
6.207061497E2,-6.459461829E1
6.212655966E2,-6.746961992E1
6.218027109E2,-5.993258270E1
6.223363660E2,-3.530748524E1
6.228847668E2,-6.232529523E1
6.234364468E2,-6.191193004E1
6.239838999E2,-6.324693972E1
6.245298736E2,-4.878906036E1
6.250830587E2,-1.462096887E1
6.256298451E2,-2.408542795E1
6.261719018E2,-3.844891086E1
6.266937417E2,-4.102688587E1
6.272419130E2,-2.243697438E1
6.277830254E2,-2.936603153E1
6.283311300E2,-3.238659507E1
6.288746146E2,-2.998332545E1
6.294243620E2,-2.637016352E1
6.299712975E2,-3.320509853E1
6.305226606E2,-1.284556246E1
6.310788596E2,-3.179415003E1
6.316217689E2,-3.046685446E1
6.321696055E2,-3.510288085E1
6.327076580E2,-4.009095615E1
6.332498912E2,-4.623408392E1
6.337968764E2,-6.493476961E1
6.343453692E2,-3.401708180E1
6.348924859E2,-5.400629502E1
6.354414962E2,-4.107839651E1
6.359839691E2,-4.835039396E1
6.365238240E2,-6.170481252E1
6.370655359E2,-4.730492601E1
6.376094734E2,-6.990272810E1
6.381396874E2,-6.797396110E1
6.386893316E2,-2.788958536E1
6.392397103E2,-2.668198950E1
6.397969137E2,-4.503682621E1
6.403370837E2,-5.422663507E1
6.408990712E2,-3.706482354E1
6.414377775E2,-5.218136816E1
6.419956191E2,-6.019690608E1
6.425878441E2,-6.859400127E1
6.431326634E2,-6.713716978E1
6.436606879E2,-6.165491117E1
6.441877302E2,-6.915141014E1
6.447346630E2,-5.430970743E1
6.452783953E2,-6.756289866E1
6.458238529E2,-6.533259082E1
6.463597094E2,-6.654722264E1
6.468947813E2,-6.652832207E1
6.474431580E2,-5.461636255E1
6.479883454E2,-5.636300822E1
6.485221952E2,-6.564206447E1
6.490571355E2,-5.913908386E1
6.495979630E2,-6.835079753E1
6.501448592E2,-6.708952094E1
6.506974137E2,-6.742288324E1
6.512429257E2,-6.896438534E1
6.517930701E2,-6.561702141E1
6.523353979E2,-6.790703317E1
6.528933409E2,-6.869112751E1
6.534419152E2,-6.708133743E1
6.539908405E2,-6.820455379E1
6.545507111E2,-6.675785329E1
6.550925980E2,-6.795968357E1
6.556666146E2,-6.836575197E1
6.562236970E2,-6.549860549E1
6.567626458E2,-6.605499485E1
6.573037098E2,-6.761630214E1
6.578490781E2,-6.682985496E1
6.584136665E2,-6.841014370E1
6.589550532E2,-6.726840404E1
6.594757148E2,-6.856256256E1
6.600184517E2,-6.643013440E1
6.605595998E2,-6.880117854E1
6.611034828E2,-6.970249238E1
6.616592451E2,-6.547403506E1
6.622201938E2,-6.673441484E1
6.627710508E2,-6.520237589E1
6.633332832E2,-6.649706545E1
6.638764109E2,-6.149896553E1
6.644261326E2,-6.691008063E1
6.649534291E2,-6.502486712E1
6.654776213E2,-6.627736436E1
6.660304051E2,-6.314573709E1
6.665816096E2,-6.562049355E1
6.671232104E2,-6.559076620E1
6.676729561E2,-6.250418138E1
6.682241760E2,-5.712812524E1
6.688085817E2,-6.416598636E1
6.693626850E2,-6.480939210E1
6.699352721E2,-6.442381666E1
6.704582259E2,-6.659236416E1
6.710081445E2,-6.752030092E1
6.715334387E2,-5.764573980E1
6.720715343E2,-4.997070862E1
6.726346036E2,-6.705828272E1
6.731735605E2,-6.663434457E1
6.737196121E2,-6.713916653E1
6.742634311E2,-5.761055980E1
6.748117500E2,-3.234803979E1
6.753742328E2,-4.539321159E1
6.759250263E2,-4.343861037E1
6.764662335E2,-4.989580215E1
6.770166292E2,-5.020870000E1
6.775573185E2,-4.516023638E1
6.780983960E2,-4.516804084E1
6.786676866E2,-3.848812365E1
6.792280661E2,-4.795456849E1
6.797706634E2,-4.712702639E1
6.803251872E2,-2.579917553E1
6.808426834E2,-3.624526227E1
6.813912873E2,-4.173632125E1
6.819231459E2,-3.039121750E1
6.824864801E2,-3.920324807E1
6.830499470E2,-3.883307010E1
6.836036358E2,-4.808244462E1
6.841411333E2,-3.132636701E1
6.846858262E2,-2.595886580E1
6.852403570E2,-2.963525287E1
6.857908422E2,-3.625832513E1
6.863429381E2,-4.311527721E1
6.868905707E2,-3.301651864E1
6.874316594E2,-6.195304938E1
6.879988331E2,-2.383400743E1
6.885341475E2,-2.044636446E1
6.890783209E2,-2.524375652E1
6.896197317E2,-2.551699570E1
6.901734365E2,-2.999280707E1
6.907464742E2,-1.879936452E1
6.912955421E2,-2.706722106E1
6.918283920E2,-3.327399988E1
6.923746880E2,-2.740075075E1
6.929104906E2,-3.439626793E1
6.934647599E2,-3.295772006E1
6.940095752E2,-5.362899957E1
6.945521118E2,-1.681922109E1
6.951110010E2,-1.262236682E1
6.956569039E2,-2.024788274E1
6.962044169E2,-2.192432070E1
6.967502809E2,-3.625658071E1
6.972824955E2,-5.753229832E1
6.978279318E2,-5.847240523E1
6.983686054E2,-3.707996418E1
6.989084389E2,-3.099326418E1
6.994369654E2,-4.696478457E1
6.999975581E2,-5.883862578E1
7.005397617E2,-6.689240342E1
7.011029943E2,-3.595406294E1
7.016488846E2,-5.404594626E1
7.021907347E2,-4.867992193E1
7.027158445E2,-5.097713478E1
7.032659222E2,-5.293479269E1
7.038145923E2,-3.711616329E1
7.043425683E2,-3.604697686E1
7.048836910E2,-4.280557495E1
7.054297534E2,-4.990776916E1
7.059914452E2,-5.265996691E1
7.065431265E2,-5.705461180E1
7.070942213E2,-6.085122620E1
7.076400920E2,-6.008041919E1
7.081880238E2,-5.738781569E1
7.087389110E2,-6.006373669E1
7.092762381E2,-6.380293690E1
7.098228309E2,-4.116076336E1
7.103682961E2,-5.458393188E1
7.109233341E2,-2.781652759E1
7.114787910E2,-3.958670249E1
7.120366926E2,-5.624364799E1
7.125946678E2,-5.746992579E1
7.131397246E2,-6.727758733E1
7.136849151E2,-6.461045303E1
