Time (s),Inclination (deg),Rotation (deg)
359.0,24.53792566,-118.8540457
360.0,25.977833420000003,-119.94679975
361.0,25.25861941,-120.48721384999999
362.0,25.16839337,-120.6243687
363.0,25.19627911,-120.86369545
364.0,25.23524278,-120.8303878
365.0,25.21769848,-120.8926432
366.0,25.72566364,-119.3344669
367.0,24.879315775000002,-116.22859765000001
368.0,24.98465276,-116.68693529999999
369.0,24.589665705,-116.73442095
370.0,24.747820044999997,-116.2179353
371.0,24.73922362,-117.2738293
372.0,21.98096238,-116.15845
373.0,20.856483795,-115.40553835
374.0,20.567387240000002,-115.26501015
375.0,20.673801185000002,-114.60898755
376.0,20.77808311,-114.33423255
377.0,20.82166832,-114.136373
378.0,20.863473810000002,-114.08809345
379.0,20.884853345,-114.11245745
380.0,20.908332265,-113.9796652
381.0,20.922650855,-113.99889655
382.0,20.914076745,-114.0578581
383.0,20.94353238,-113.91954765
384.0,20.90619915,-113.9381424
385.0,22.42246891,-114.5745101
386.0,22.693260785,-106.0055703
387.0,24.226601555000002,-114.0729729
388.0,25.31019912,-114.39027010000001
389.0,25.49823995,-116.1407272
390.0,24.9499508,-116.4394116
391.0,24.945991375,-116.39291225
392.0,24.928745990000003,-116.4092546
393.0,24.829695254999997,-116.43570120000001
394.0,24.404981445,-116.01627984999999
395.0,24.170408305000002,-116.27969205
396.0,24.11409787,-116.2052271
397.0,24.081297035,-116.2740685
398.0,24.095323925000002,-116.21874245
399.0,24.091374635,-116.24891975
400.0,24.092250909999997,-116.2475437
401.0,23.999891595,-116.21939585
402.0,24.15644766,-116.0960113
403.0,24.05967836,-116.1298029
404.0,24.094627935,-116.1831358
405.0,24.112686475,-116.21969715
406.0,24.448770825,-115.95257185
407.0,25.20283741,-117.7680858
408.0,24.829624844999998,-120.61487604999999
409.0,25.032100675000002,-119.9772677
410.0,25.080188905,-119.53072255000001
411.0,25.078370810000003,-119.44573005
412.0,24.425395430000002,-118.57336785000001
413.0,22.47359983,-117.1800896
414.0,23.769694935,-115.79268445
415.0,23.931655445,-115.82773424999999
416.0,23.64294505,-115.35209095
417.0,23.691992955,-115.6441316
418.0,23.7211978,-115.7022857
419.0,23.72686587,-115.6495168
420.0,23.725065825,-115.75371545
421.0,23.74544457,-115.66711885000001
422.0,23.749579165,-115.7234967
423.0,23.750573705,-115.68467135
424.0,23.774157860000003,-115.68534500000001
425.0,23.76641556,-115.8065801
426.0,23.783603555,-115.6894964
427.0,23.788086645,-115.7347881
428.0,23.77274063,-115.7434729
429.0,23.77952608,-115.73517770000001
430.0,23.7652412,-115.81098475
431.0,23.79062897,-115.7159215
432.0,23.77904238,-115.8062688
433.0,23.782813875,-115.775171
434.0,23.79339643,-115.78833230000001
435.0,23.810085524999998,-115.81036065
436.0,23.805743935000002,-115.76937914999999
437.0,23.85532042,-115.7342937
438.0,23.821272954999998,-115.79208745
439.0,23.807945595,-115.78758035000001
440.0,23.798272410000003,-115.8406801
441.0,23.779167865,-115.86298495
442.0,23.788381635,-115.80202235
443.0,23.786777895,-115.884209
444.0,23.8046458,-115.84084
445.0,23.827747764999998,-115.87420175
446.0,23.825608015,-115.82720585
447.0,23.8282588,-115.8180872
448.0,23.81706345,-115.8620516
449.0,23.83798832,-115.7913885
450.0,23.78485571,-115.8459602
451.0,23.766438895,-115.84868460000001
452.0,23.787107544999998,-115.82366375000001
453.0,23.78831555,-115.88041225
454.0,23.789893829999997,-115.82766985
455.0,23.79254731,-115.82914539999999
456.0,23.79066853,-115.8059808
457.0,23.795372655,-115.80346549999999
458.0,23.776686845,-115.84833635
459.0,23.79487608,-115.7959903
460.0,23.783264655,-115.87010025000001
461.0,23.79216667,-115.7744938
462.0,23.79639852,-115.8743385
