Time (s),Sound pressure level (dB)
928.0,-38.38314719
929.0,-25.26031723
930.0,-25.59903765
931.0,-24.759719785
932.0,-25.59890433
933.0,-38.51392734
934.0,-37.437468255
935.0,-44.844758575
936.0,-47.66091154
937.0,-36.034360725
938.0,-51.436863675
939.0,-36.17947893
940.0,-67.06361316499999
941.0,-68.48672406
942.0,-64.94851981
943.0,-64.824802015
944.0,-66.472154175
945.0,-63.861637195
946.0,-66.62264272499999
947.0,-64.48862562
948.0,-64.29607941500001
949.0,-66.470745035
950.0,-66.09376749500001
951.0,-64.541754975
952.0,-38.546966655000006
953.0,-30.34471805
954.0,-43.83836178
955.0,-31.811694
956.0,-42.70229975
957.0,-64.199360025
958.0,-61.245414685
959.0,-68.26320954
960.0,-65.25531298
961.0,-68.21195374999999
962.0,-48.399331000000004
963.0,-58.03451416
964.0,-41.71252504
965.0,-51.61431309
966.0,-44.61484847
967.0,-44.05879042
968.0,-66.86785709
969.0,-66.36098626
970.0,-65.9789252
971.0,-65.366224945
972.0,-65.009317425
973.0,-63.20272052
974.0,-64.916753255
975.0,-65.72963879
976.0,-65.87107054
977.0,-63.830082935
978.0,-63.20611705500001
979.0,-62.77476877
980.0,-65.05463846
981.0,-56.944423455
982.0,-63.07974391
983.0,-66.187333035
984.0,-65.9673716
985.0,-64.074067
986.0,-66.669313585
987.0,-65.93458834
988.0,-66.6632777
989.0,-70.23904652
990.0,-72.919331795
991.0,-73.292710505
992.0,-72.25479541499999
993.0,-73.76255316000001
994.0,-72.89584095
995.0,-74.29727549500001
996.0,-73.021636975
997.0,-73.052334175
998.0,-72.24806014
999.0,-73.32984497000001
1000.0,-74.04418354
1001.0,-66.67718834
1002.0,-73.73414443499999
1003.0,-73.88896289
1004.0,-74.17284853000001
1005.0,-45.801362685
1006.0,-33.84110389
1007.0,-40.63836044
1008.0,-73.34211005
1009.0,-73.65911352500001
1010.0,-73.27968458000001
1011.0,-73.09988559
1012.0,-72.03756851
1013.0,-71.55390402500001
1014.0,-66.73436699000001
1015.0,-59.117051915000005
1016.0,-60.26437457
1017.0,-59.64593492
1018.0,-57.30629377
1019.0,-55.682733165
1020.0,-58.21369041
1021.0,-73.679277585
1022.0,-74.23953785500001
1023.0,-73.8724161
1024.0,-67.94142449
1025.0,-39.52579403
1026.0,-74.58536256
1027.0,-74.10411474
1028.0,-72.152725355
1029.0,-74.35697686
1030.0,-73.32204921499999
1031.0,-73.44125865999999
1032.0,-72.61709231
1033.0,-74.44657285
1034.0,-74.04004676
1035.0,-74.89710793
1036.0,-73.10658987
1037.0,-57.98711159
1038.0,-29.43727337
1039.0,-57.651504155
1040.0,-45.76067906
1041.0,-38.693240875
1042.0,-38.252843580000004
1043.0,-27.41170321
1044.0,-37.685520425
1045.0,-47.21999599
1046.0,-34.73423627
1047.0,-44.95621759
1048.0,-44.434881985000004
1049.0,-52.590984405
1050.0,-28.621819075
1051.0,-41.962891145
1052.0,-43.88199141
1053.0,-44.9904167
1054.0,-37.493216110000006
1055.0,-57.238417604999995
1056.0,-55.235325450000005
1057.0,-52.32437754
1058.0,-47.63634338
1059.0,-49.538437314999996
1060.0,-42.214554765
1061.0,-35.62728482
1062.0,-52.72620121
1063.0,-40.010112455
1064.0,-51.60878165
1065.0,-55.831103479999996
1066.0,-43.118854
1067.0,-27.336793319999998
1068.0,-41.110637894999996
1069.0,-58.540969180000005
1070.0,-43.45459477
1071.0,-41.088347604999996
1072.0,-44.67216777
1073.0,-49.4395836
1074.0,-35.43635345
1075.0,-35.834210345
1076.0,-27.36008661
1077.0,-31.951546085
1078.0,-27.55475682
1079.0,-36.723210585
1080.0,-48.090613035000004
1081.0,-51.937185225
1082.0,-50.81773448
1083.0,-39.86774019
1084.0,-49.25291195
1085.0,-56.846596765
1086.0,-48.097335055
1087.0,-69.177981385
1088.0,-64.51796343
1089.0,-50.5332615
1090.0,-56.030597220000004
1091.0,-72.4775871
1092.0,-42.173161525
1093.0,-41.404397245
1094.0,-59.30908342000001
1095.0,-35.35361373
1096.0,-35.02018692
1097.0,-35.839079305
1098.0,-48.393736945
1099.0,-73.85188083
1100.0,-40.24004044
1101.0,-74.69879373500001
1102.0,-37.34299989
1103.0,-29.009328615
1104.0,-34.606760745
1105.0,-32.939540539999996
1106.0,-36.56696472
1107.0,-50.838405955
1108.0,-61.142019855
1109.0,-71.359724395
1110.0,-63.143031640000004
1111.0,-71.68978078
1112.0,-70.47536735
1113.0,-73.26416473
1114.0,-71.36932402
1115.0,-71.79600793
1116.0,-69.685694945
1117.0,-72.59891893
1118.0,-74.18778553
1119.0,-71.436385435
1120.0,-73.709261465
1121.0,-73.31612329000001
1122.0,-71.863977005
1123.0,-72.749779745
1124.0,-72.614994405
1125.0,-73.11399401
1126.0,-73.53181598500001
1127.0,-73.643279965
1128.0,-73.9256649
1129.0,-73.33902615
1130.0,-74.03184192
1131.0,-71.86410689
1132.0,-73.7355242
1133.0,-72.43257124
1134.0,-73.557359795
1135.0,-73.59595259
1136.0,-74.329613135
1137.0,-73.98046258
1138.0,-70.50551963000001
1139.0,-70.04684877
1140.0,-56.91253506
1141.0,-61.43013113
1142.0,-72.44900125
1143.0,-73.50018628000001
1144.0,-74.007746485
1145.0,-73.796633035
1146.0,-74.36707704
1147.0,-73.89209428999999
1148.0,-73.71724756
1149.0,-74.124944725
1150.0,-74.43342032999999
1151.0,-73.6910065
1152.0,-73.37482546
1153.0,-73.034531115
1154.0,-72.60206311499999
1155.0,-73.69422417
1156.0,-72.96371919500001
1157.0,-72.864950295
1158.0,-73.80934779500001
1159.0,-73.93367879499999
1160.0,-73.81820697
1161.0,-74.11382025500001
1162.0,-71.13371133
1163.0,-73.196279495
1164.0,-74.10882488
1165.0,-70.994352035
1166.0,-69.31515649
1167.0,-64.54278913499999
1168.0,-72.19386395500001
1169.0,-66.051901155
1170.0,-65.33041137500001
1171.0,-65.59588536
1172.0,-69.89234191
1173.0,-61.186502605
1174.0,-72.315375815
1175.0,-74.20737503
1176.0,-72.99679667000001
1177.0,-72.72066462000001
1178.0,-74.51912256
1179.0,-73.52248431
1180.0,-72.87867070499999
1181.0,-72.34941434
1182.0,-72.994116195
1183.0,-72.20666151500001
1184.0,-72.56252149
1185.0,-70.76997864500001
1186.0,-73.42676527500001
1187.0,-69.07732426
1188.0,-69.056890545
1189.0,-72.596595575
1190.0,-70.20928727
1191.0,-72.76770318999999
1192.0,-56.12240826
