Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
289.0,0.59432957295,1.2182957325000001,9.5207672075,9.6480037825
290.0,1.3024556235000002,0.8720111306,9.871046069,9.9951490055
291.0,0.3028385255,0.8081479618,9.979138422999998,10.1246226235
292.0,0.75918435096,2.010895425,9.5561885885,9.8406757825
293.0,0.4448530428,1.0801836216499998,9.9134601635,9.993967774
294.0,-0.04813580569999999,1.0951572595,9.987958701499998,10.05120967
295.0,-0.7376743540949999,1.538687231,9.395451034,9.58697141
296.0,-5.937977913,-2.5523096250000004,7.513629721499999,10.1804435225
297.0,-4.8301683765,-4.531050556,7.5476350225,10.058300445499999
298.0,-4.3388327715,-2.4245610505,8.6640495895,9.9932592575
299.0,-4.1906893035,-1.7394565435,8.9169660025,10.005119140000001
300.0,-4.125743689,-1.5366673265,8.9834597425,10.0044341475
301.0,-4.165749407,-1.521144646,8.9846313835,10.019551322
302.0,-4.150747656,-1.4809895145,8.956433003,9.982023995
303.0,-4.164433573,-1.5206743545,8.980498558,10.015249189
304.0,-4.137935848,-1.6218056265,8.970100038,10.010785760000001
305.0,-4.180152617499999,-1.5524165375,8.9493169935,9.998755145499999
306.0,-4.1831881545,-1.5856360784999999,8.9567133735,10.01187195
307.0,-3.8261719364999998,-1.4467048715000002,9.139543361000001,10.013501380000001
308.0,-3.753778674,-1.415817871,9.178158695,10.017027065
309.0,-3.9333072795,-1.4185996655,9.0883733605,10.0042847315
310.0,-4.0112616495,-1.452398352,9.0563357945,10.010839874999999
311.0,-4.0449560380000005,-1.5732432835,9.018690757,10.008678895
312.0,-4.0167404835,-1.5413181645,9.0364843015,10.00842171
313.0,-4.0093529745,-1.5070164135000002,9.045961758,10.008775525
314.0,-4.02306171,-1.5268435415,9.036186311,10.00844407
315.0,-4.0294890495,-1.525235231,9.034586931,10.00934071
316.0,-4.036981654,-1.526441876,9.030027435000001,10.00843007
317.0,-4.02681823,-1.5289362465,9.033246716499999,10.00762119
318.0,-4.0363622905,-1.5233443265000002,9.0292406845,10.006997455
319.0,-4.031534001500001,-1.532802383,9.0309902415,10.00807351
320.0,-4.037158119,-1.5259792525,9.0306903815,10.009028045
321.0,-4.035698706,-1.5299759565,9.03154884,10.009824765000001
322.0,-4.050068746,-1.5261318825,9.030571135999999,10.01416337
323.0,-4.0366335395,-1.5291317905000001,9.025091215,10.004247055
324.0,-4.0375968965,-1.535246071,9.025739831,10.00615567
325.0,-4.133751306,-1.6139447205000002,8.972113548500001,10.010407305000001
326.0,-4.606262846,-2.0033458755,8.634688405999999,9.9916499825
327.0,-5.495854972,-1.6020452155,8.1622624385,9.977313644999999
328.0,-6.160900985,-2.329095627,7.540748091,10.04065926
329.0,-6.513311259,-2.827886062,7.0560796515,10.013820915
330.0,-7.547100853,-3.323428571,5.46464615,9.9421021135
331.0,-0.5796400422,-1.4808662123999998,9.588200715,9.834014908499999
332.0,0.7683765892000001,-0.8024677312999999,9.9493579695,10.0128200085
333.0,0.8447837275500001,-1.0040698579999998,9.9346923265,10.020978509999999
334.0,0.6480421939000001,-0.5360784594,10.195585695,10.244423235
335.0,0.0479861754,2.1873748869,9.3253746295,9.687745342500001
336.0,0.7205470593000001,-0.0359729073,9.993429889,10.023615325000002
337.0,0.006086624600000007,0.18823564750000002,9.993064008,10.024174739
338.0,-3.7664429090000002,-1.42885336435,8.969457517999999,9.949319175
339.0,-5.4041708155,-5.572724481,6.065735668,9.930419661
340.0,-4.1102742565,-4.231684989,7.9014119025,9.942112453
341.0,-3.6001482155,-1.771784393,9.1858776935,10.024644835
342.0,-3.1981926764999997,-1.6732714665000001,9.3370873415,10.011746930000001
343.0,-2.9734702349999997,-1.555513796,9.433468344,10.012714455000001
344.0,-3.0685843645000004,-1.577301111,9.402204052,10.01526698
345.0,-3.0611008795,-1.6373726899999999,9.3920021605,10.01305288
346.0,-3.0839693215,-1.5988992005,9.394344082,10.01604776
347.0,-3.1187058685,-1.5961304570000001,9.381633271,10.01444455
348.0,-3.1122333405,-1.593083688,9.38458884,10.014711
349.0,-3.1221600494999997,-1.5921650685,9.381671433000001,10.01492074
350.0,-3.1229309235000002,-1.590140215,9.381323713,10.014513990000001
351.0,-3.103424383,-1.5883906780000001,9.3885998155,10.014998235
352.0,-3.109343133,-1.5837024325,9.389458293499999,10.01688907
353.0,-3.1076786485000003,-1.5812939254999998,9.3887667675,10.01534377
354.0,-3.1018545545,-1.5734873275,9.394067302,10.017281705
355.0,-3.1056230745000004,-1.5665662595,9.3928111445,10.016184115000001
356.0,-3.1279244225,-1.5805832965,9.384145273000001,10.017221535000001
357.0,-3.200963166,-1.610239473,9.3537434285,10.016637995
358.0,-3.3262520175,-1.7074330495,9.2846378295,10.009734585
359.0,-3.54221186,-1.965410661,9.161689357499998,10.018040625000001
360.0,-3.797594969,-2.1877757134999998,8.995554753,10.0065597105
361.0,-3.680837108,-2.1670768904999997,9.053139589499999,10.01020586
362.0,-3.6627886265000003,-2.168246557,9.0583998985,10.00860211
363.0,-3.658565822,-2.1864578674999997,9.059000641,10.01155396
364.0,-3.6642970985,-2.186993577,9.0540552955,10.00929268
365.0,-3.7279937920000004,-2.2141642665,9.0809500245,10.063158564999998
366.0,-3.7680680765,-2.1169846135,8.969972049999999,9.957031817
367.0,-3.793729365,-1.8691130870000001,9.120353597000001,10.053288613500001
368.0,-3.769360071,-1.8971302680000002,9.055442017,9.990800095
369.0,-3.715625877,-1.871836164,9.0916301145,9.9983988955
370.0,-3.746296109,-1.844780102,9.058609973500001,9.9748699495
371.0,-3.7511512845,-1.9148414914999998,9.116905416,10.042713895
372.0,-3.361587111,-1.652238383,9.280620501000001,10.0086810965
373.0,-3.2203043375,-1.5298257080000002,9.3582166375,10.014463840000001
374.0,-3.181274046,-1.5013647730000002,9.3750739955,10.013335155
375.0,-3.214149748,-1.472160609,9.3687333145,10.01355051
376.0,-3.23716573,-1.46393988,9.363618124999999,10.01498351
377.0,-3.2501144379999998,-1.4546110890000001,9.3596023275,10.014054975
