Time,Event,Key/Button,PositionX,PositionY
2024-06-08 21:42:37, Mouse Move,,,894,1068
2024-06-08 21:42:37, Mouse Move,,,895,1068
2024-06-08 21:42:37, Mouse Move,,,897,1068
2024-06-08 21:42:37, Mouse Move,,,899,1067
2024-06-08 21:42:37, Mouse Move,,,900,1067
2024-06-08 21:42:37, Mouse Move,,,901,1067
2024-06-08 21:42:37, Mouse Move,,,901,1066
2024-06-08 21:42:37, Mouse Move,,,902,1066
2024-06-08 21:42:37, Mouse Move,,,904,1066
2024-06-08 21:42:37, Mouse Move,,,905,1066
2024-06-08 21:42:37, Mouse Move,,,904,1066
2024-06-08 21:42:37, Mouse Move,,,904,1065
2024-06-08 21:42:37, Mouse Move,,,903,1065
2024-06-08 21:42:37, Mouse Move,,,902,1065
2024-06-08 21:42:37, Mouse Move,,,901,1065
2024-06-08 21:42:38, Mouse Click,Button.left,901,1065
2024-06-08 21:42:39, Mouse Move,,,864,1071
2024-06-08 21:42:39, Mouse Move,,,794,1083
2024-06-08 21:42:39, Mouse Move,,,744,1084
2024-06-08 21:42:39, Mouse Move,,,718,1080
2024-06-08 21:42:39, Mouse Move,,,706,1079
2024-06-08 21:42:39, Mouse Move,,,698,1079
2024-06-08 21:42:39, Mouse Move,,,692,1079
2024-06-08 21:42:39, Mouse Move,,,688,1079
2024-06-08 21:42:39, Mouse Move,,,686,1079
2024-06-08 21:42:39, Mouse Move,,,683,1079
2024-06-08 21:42:39, Mouse Move,,,681,1078
2024-06-08 21:42:39, Mouse Move,,,678,1078
2024-06-08 21:42:39, Mouse Move,,,676,1078
2024-06-08 21:42:39, Mouse Move,,,674,1077
2024-06-08 21:42:39, Mouse Move,,,672,1077
2024-06-08 21:42:39, Mouse Move,,,671,1076
2024-06-08 21:42:39, Mouse Move,,,669,1076
2024-06-08 21:42:39, Mouse Move,,,668,1076
2024-06-08 21:42:39, Mouse Move,,,667,1075
2024-06-08 21:42:39, Mouse Move,,,666,1075
2024-06-08 21:42:39, Mouse Move,,,664,1075
2024-06-08 21:42:39, Mouse Move,,,663,1075
2024-06-08 21:42:39, Mouse Move,,,661,1073
2024-06-08 21:42:39, Mouse Move,,,659,1073
2024-06-08 21:42:39, Mouse Move,,,657,1072
2024-06-08 21:42:39, Mouse Move,,,654,1072
2024-06-08 21:42:39, Mouse Move,,,653,1071
2024-06-08 21:42:39, Mouse Move,,,651,1071
2024-06-08 21:42:39, Mouse Move,,,648,1070
2024-06-08 21:42:39, Mouse Move,,,647,1070
2024-06-08 21:42:39, Mouse Move,,,644,1068
2024-06-08 21:42:39, Mouse Move,,,643,1068
2024-06-08 21:42:39, Mouse Move,,,642,1068
2024-06-08 21:42:40, Mouse Move,,,639,1067
2024-06-08 21:42:40, Mouse Move,,,637,1067
2024-06-08 21:42:40, Mouse Move,,,633,1067
2024-06-08 21:42:40, Mouse Move,,,631,1066
2024-06-08 21:42:40, Mouse Move,,,628,1066
2024-06-08 21:42:40, Mouse Move,,,626,1066
2024-06-08 21:42:40, Mouse Move,,,624,1066
2024-06-08 21:42:40, Mouse Move,,,623,1066
2024-06-08 21:42:40, Mouse Move,,,622,1066
2024-06-08 21:42:40, Mouse Move,,,621,1066
2024-06-08 21:42:40, Mouse Move,,,621,1066
2024-06-08 21:42:40, Mouse Move,,,627,1066
2024-06-08 21:42:40, Mouse Move,,,646,1066
2024-06-08 21:42:40, Mouse Move,,,684,1065
2024-06-08 21:42:40, Mouse Move,,,709,1065
2024-06-08 21:42:40, Mouse Move,,,720,1065
2024-06-08 21:42:40, Mouse Move,,,727,1065
2024-06-08 21:42:40, Mouse Move,,,730,1065
2024-06-08 21:42:40, Mouse Move,,,732,1065
2024-06-08 21:42:40, Mouse Move,,,734,1065
2024-06-08 21:42:40, Mouse Move,,,735,1065
2024-06-08 21:42:40, Mouse Move,,,736,1065
2024-06-08 21:42:40, Mouse Move,,,736,1065
2024-06-08 21:42:40, Mouse Click,Button.left,736,1065
2024-06-08 21:42:41, Mouse Move,,,759,1048
2024-06-08 21:42:41, Mouse Move,,,810,998
2024-06-08 21:42:41, Mouse Move,,,870,946
2024-06-08 21:42:41, Mouse Move,,,931,891
2024-06-08 21:42:41, Mouse Move,,,990,837
2024-06-08 21:42:41, Mouse Move,,,1042,787
2024-06-08 21:42:41, Mouse Move,,,1089,743
2024-06-08 21:42:41, Mouse Move,,,1115,717
2024-06-08 21:42:41, Mouse Move,,,1135,696
2024-06-08 21:42:41, Mouse Move,,,1150,769
2024-06-08 21:42:41, Mouse Move,,,1176,868
2024-06-08 21:42:41, Mouse Move,,,1206,956
2024-06-08 21:42:41, Mouse Move,,,1232,1021
2024-06-08 21:42:41, Mouse Move,,,1242,1046
2024-06-08 21:42:41, Mouse Move,,,1246,1058
2024-06-08 21:42:41, Mouse Move,,,1247,1063
2024-06-08 21:42:41, Mouse Move,,,1247,1066
2024-06-08 21:42:41, Mouse Move,,,1247,1069
2024-06-08 21:42:41, Mouse Move,,,1247,1070
2024-06-08 21:42:41, Mouse Move,,,1246,1071
2024-06-08 21:42:42, Mouse Move,,,1237,1073
2024-06-08 21:42:42, Mouse Move,,,1221,1073
2024-06-08 21:42:42, Mouse Move,,,1204,1073
2024-06-08 21:42:42, Mouse Move,,,1189,1073
2024-06-08 21:42:42, Mouse Move,,,1177,1073
2024-06-08 21:42:42, Mouse Move,,,1167,1073
2024-06-08 21:42:42, Mouse Move,,,1157,1072
2024-06-08 21:42:42, Mouse Move,,,1149,1071
2024-06-08 21:42:42, Mouse Move,,,1143,1071
2024-06-08 21:42:42, Mouse Move,,,1138,1071
2024-06-08 21:42:42, Mouse Move,,,1134,1071
2024-06-08 21:42:42, Mouse Move,,,1131,1071
2024-06-08 21:42:42, Mouse Move,,,1128,1070
2024-06-08 21:42:42, Mouse Move,,,1124,1070
2024-06-08 21:42:42, Mouse Move,,,1121,1070
2024-06-08 21:42:42, Mouse Move,,,1117,1070
