"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.303093686E2,-1.546040898E1,-2.111723511E1
1.308107419E2,-1.548199157E1,-2.107631039E1
1.313119626E2,-1.555157769E1,-2.101739656E1
1.318127866E2,-1.546793511E1,-2.104917374E1
1.323130307E2,-1.542862266E1,-2.107087584E1
1.328143430E2,-1.542584917E1,-2.109078750E1
1.333159909E2,-1.544074168E1,-2.106396049E1
1.338172421E2,-1.550639173E1,-2.102477424E1
1.343181577E2,-1.546480337E1,-2.098942142E1
1.348192563E2,-1.583863739E1,-2.187024123E1
1.353201413E2,-1.581158209E1,-2.210348796E1
1.363222470E2,-1.417172890E1,-2.200773826E1
1.368231015E2,-1.247934946E1,-2.141581908E1
1.373244443E2,-1.287002236E1,-2.022350662E1
1.378255124E2,-1.353570672E1,-2.006209405E1
1.383267636E2,-1.307120149E1,-1.997977960E1
1.388281979E2,-1.575051853E1,-2.194649101E1
1.393294492E2,-1.704757129E1,-2.108390674E1
1.398307614E2,-1.734546329E1,-2.428658590E1
1.403324399E2,-2.001837673E1,-2.434755127E1
1.408343785E2,-1.945155170E1,-2.824853007E1
1.413354611E2,-1.952880430E1,-2.886054811E1
1.418373837E2,-2.390365765E1,-3.933133305E1
1.428405378E2,-2.023737413E1,-3.309462238E1
1.433415249E2,-2.053449812E1,-2.728120009E1
1.438426714E2,-2.126060909E1,-2.752790311E1
1.443436093E2,-2.127118732E1,-4.860409964E1
1.448448911E2,-4.701183036E0,-2.020138086E1
1.453464590E2,7.534585373E0,2.028908031E0
1.458473186E2,1.190944107E1,2.695960027E0
1.463486447E2,1.059992769E1,5.861458203E0
1.468493517E2,1.227440600E1,5.769302262E0
1.473507504E2,9.200990543E0,7.164914815E0
1.478518047E2,1.068812205E1,6.468941401E0
1.483532312E2,5.486487166E0,4.032577377E0
1.488546262E2,6.629259803E0,-6.361925832E0
1.493553586E2,1.048402906E0,-9.076510287E0
1.498563657E2,-1.127406269E1,-2.204852781E1
1.503574948E2,-3.022429084E1,-4.403945795E1
1.508576961E2,-4.228850467E1,-4.120315027E1
1.513585629E2,-3.001631823E1,-3.472426796E1
1.523604007E2,-1.563744924E1,-2.622650794E1
1.528615193E2,-1.392674446E1,-2.696209716E1
1.533626828E2,-1.433710977E1,-2.795396999E1
1.538633398E2,-1.654677265E1,-2.682340114E1
1.543645749E2,-1.658509906E1,-2.732526240E1
1.548653353E2,-1.633355077E1,-2.666596578E1
1.553663118E2,-1.645825825E1,-2.635444665E1
1.558671053E2,-1.642347976E1,-2.651523457E1
1.563680819E2,-1.650480222E1,-2.647678557E1
1.568689363E2,-1.640094313E1,-2.646426039E1
1.573702181E2,-1.641371352E1,-2.650941129E1
1.583725985E2,-1.646132341E1,-2.651697768E1
1.588738192E2,-1.647033781E1,-2.647052895E1
1.593751924E2,-1.642676995E1,-2.649908997E1
1.598770235E2,-1.639739900E1,-2.651776144E1
1.603778170E2,-1.638645636E1,-2.655602389E1
1.608784883E2,-1.643732499E1,-2.654002290E1
1.613786104E2,-1.647687279E1,-2.650615595E1
1.618803804E2,-1.643870833E1,-2.647887277E1
1.623817537E2,-1.635038797E1,-2.649358996E1
1.628832491E2,-1.636678173E1,-2.657458507E1
1.633843172E2,-1.644516566E1,-2.652380386E1
1.643867281E2,-1.638492095E1,-2.649455048E1
1.648874300E2,-1.642579246E1,-2.617271845E1
1.653882235E2,-1.565141489E1,-2.577218811E1
1.658896578E2,-1.542842033E1,-2.554250426E1
1.663912447E2,-1.503155076E1,-2.489321064E1
1.668931063E2,-1.493702180E1,-2.518373567E1
1.673946321E2,-1.540193698E1,-2.527220182E1
1.678963106E2,-1.575764798E1,-2.546174213E1
1.683975618E2,-1.587741921E1,-2.564144846E1
1.688982637E2,-1.594614840E1,-2.563740409E1
1.694000643E2,-1.592024849E1,-2.561885753E1
1.699014681E2,-1.600481258E1,-2.560435874E1
1.709039705E2,-1.597975287E1,-2.562880175E1
1.714051607E2,-1.598417742E1,-2.560577911E1
1.719070833E2,-1.596025087E1,-2.560732566E1
1.724079073E2,-1.599031131E1,-2.563143776E1
1.729094332E2,-1.597941153E1,-2.559809866E1
1.734109896E2,-1.590891392E1,-2.564434274E1
1.739128511E2,-1.587106909E1,-2.567055613E1
1.744144620E2,-1.584058290E1,-2.564413659E1
1.749154939E2,-1.583190852E1,-2.567387670E1
1.754171846E2,-1.584714533E1,-2.564724502E1
1.759187105E2,-1.587182376E1,-2.566272034E1
1.769211519E2,-1.583165860E1,-2.566833604E1
1.774225252E2,-1.582414071E1,-2.569102321E1
1.779230135E2,-1.583108261E1,-2.567249296E1
1.784246614E2,-1.585539963E1,-2.567509411E1
1.789254244E2,-1.588859578E1,-2.567576502E1
1.794266451E2,-1.583247319E1,-2.566723461E1
1.799266451E2,-1.581034914E1,-2.570075527E1
1.804279278E2,-1.582988963E1,-2.568992577E1
1.809294832E2,-1.586309401E1,-2.566305009E1
1.814299410E2,-1.589757809E1,-2.567935834E1
1.819309382E2,-1.584255291E1,-2.568239444E1
1.824324129E2,-1.582765000E1,-2.567485098E1
1.834342440E2,-1.582302292E1,-2.568693621E1
1.839349188E2,-1.589931279E1,-2.566587673E1
1.844360355E2,-1.589987008E1,-2.566511299E1
1.849371814E2,-1.584313228E1,-2.569352842E1
1.854379968E2,-1.583899129E1,-2.569337932E1
1.859398279E2,-1.586279806E1,-2.567574634E1
1.864408350E2,-1.592345443E1,-2.566422166E1
1.869425439E2,-1.589592229E1,-2.567457092E1
1.874437036E2,-1.586405030E1,-2.568553541E1
1.879456262E2,-1.587768543E1,-2.569069883E1
1.884461755E2,-1.585512810E1,-2.569719527E1
1.889472437E2,-1.592833164E1,-2.567155307E1
1.894488000E2,-1.590793498E1,-2.567857998E1
1.904516687E2,-1.585796253E1,-2.568446511E1
1.909529810E2,-1.587678032E1,-2.567543426E1
1.914547815E2,-1.594814130E1,-2.566827449E1
1.919554529E2,-1.590311935E1,-2.569547976E1
1.924563379E2,-1.585669847E1,-2.568233495E1
1.929580774E2,-1.586005955E1,-2.569966804E1
1.934597864E2,-1.588188841E1,-2.568050574E1
1.939615869E2,-1.594085565E1,-2.567365301E1
1.944623804E2,-1.590665911E1,-2.566640360E1
1.949633875E2,-1.586035378E1,-2.567928533E1
1.954644861E2,-1.586573658E1,-2.568928444E1
1.959645471E2,-1.587142523E1,-2.573173565E1
1.964655542E2,-1.592181616E1,-2.570023037E1
1.969668970E2,-1.594087982E1,-2.572363131E1
1.974673547E2,-1.590255541E1,-2.573225178E1
1.984684534E2,-1.589527995E1,-2.574391627E1
1.989689722E2,-1.593214408E1,-2.574762548E1
1.994694299E2,-1.594745196E1,-2.573794206E1
1.999701318E2,-1.589576474E1,-2.574166181E1
2.004709558E2,-1.589733801E1,-2.575262998E1
2.009714746E2,-1.588911502E1,-2.575768125E1
2.014718713E2,-1.593379814E1,-2.574236118E1
2.019734277E2,-1.598758208E1,-2.571661260E1
2.024752839E2,-1.590474065E1,-2.572505909E1
2.029770898E2,-1.588530042E1,-2.572015188E1
2.034787596E2,-1.588352458E1,-2.573097435E1
2.039805383E2,-1.590841833E1,-2.570617475E1
2.044821863E2,-1.597996429E1,-2.569721076E1
2.049839258E2,-1.590772727E1,-2.568581379E1
2.059859705E2,-1.587452746E1,-2.568181309E1
2.064874353E2,-1.586743953E1,-2.569231073E1
2.069888696E2,-1.591527782E1,-2.566635779E1
2.074889307E2,-1.591176106E1,-2.568181548E1
2.079903040E2,-1.587196636E1,-2.567624706E1
2.084919519E2,-1.584486870E1,-2.569307769E1
2.089938440E2,-1.585991639E1,-2.565707249E1
2.094951868E2,-1.586764317E1,-2.567881792E1
2.099966031E2,-1.593476460E1,-2.565257777E1
2.104978032E2,-1.589432888E1,-2.564301130E1
2.109996729E2,-1.583898182E1,-2.565695943E1
